reviewid,orderid,productid,userid,rating,reviewtext,reviewdate
26596,12249,1129,2545,3,Item arrived damaged.,27/07/2025 3:23
15838,7312,56,4225,5,"""Excellent product; will buy again.""",14/12/2024 9:24
4795,2181,381,5321,5,Highly recommend this brand.,14/06/2024 10:40
3197,1450,306,6770,4,Fast shipping and good packaging.,5/07/2025 23:35
12949,5948,1334,2678,3,"""Not as expected; quality is poor.""",27/03/2024 8:54
4402,2009,1731,6310,5,Fast shipping and good packaging.,16/08/2025 7:34
31942,14673,1516,7617,1,Value for money.,20/09/2024 4:00
12939,5942,1379,6011,4,Item arrived damaged.,24/11/2024 3:04
14948,6883,1483,7689,4,Color was different from images.,25/07/2024 13:36
30511,14016,17,8912,5,Customer service was helpful.,10/08/2025 5:26
21925,10127,247,4460,3,Highly recommend this brand.,21/08/2025 9:48
30208,13878,1877,6425,5,"""Not as expected; quality is poor.""",20/05/2025 10:10
7726,3523,1206,7502,5,"""Not as expected; quality is poor.""",19/02/2025 15:20
14274,6570,286,8268,5,"""Not as expected; quality is poor.""",8/08/2025 6:28
42757,19646,1213,1687,4,Decent product for the price.,22/10/2025 16:15
16387,7566,292,8097,5,"""Excellent product; will buy again.""",4/08/2025 12:13
23955,11053,404,4770,1,Color was different from images.,25/02/2025 21:30
1292,577,1456,9068,3,Highly recommend this brand.,11/07/2024 17:38
12753,5856,1713,7068,3,Color was different from images.,15/11/2024 23:14
42431,19485,1040,7171,3,Color was different from images.,18/02/2025 19:47
26900,12372,392,2950,3,Customer service was helpful.,16/01/2025 10:26
3483,1576,1440,3273,3,Highly recommend this brand.,9/06/2024 16:40
32741,15028,926,7425,4,Decent product for the price.,16/08/2025 7:31
24339,11231,1014,8868,4,Color was different from images.,19/02/2024 3:00
24227,11181,1095,8344,4,Highly recommend this brand.,28/09/2025 2:54
8280,3788,1228,1988,4,Customer service was helpful.,20/06/2025 10:49
38349,17579,1304,5529,4,Color was different from images.,14/11/2024 11:45
12495,5740,1527,986,5,Works perfectly!,21/08/2025 19:48
7100,3218,767,7427,4,Fast shipping and good packaging.,29/03/2024 9:29
16642,7685,1171,3365,3,Color was different from images.,12/01/2025 16:23
20560,9505,682,7547,2,"""Not as expected; quality is poor.""",23/01/2025 14:23
18705,8643,1342,1517,3,Color was different from images.,19/10/2025 16:35
22760,10510,1023,7909,3,Value for money.,3/10/2025 9:45
5355,2435,1924,6067,4,Fast shipping and good packaging.,16/10/2024 2:55
6523,2950,1338,4520,5,Customer service was helpful.,24/03/2024 16:49
16140,7463,1662,6741,5,Works perfectly!,9/07/2024 18:33
25904,11941,758,3127,4,Color was different from images.,8/07/2024 5:27
35390,16254,47,3957,4,Highly recommend this brand.,19/02/2025 10:09
40182,18423,319,9759,5,"""Not as expected; quality is poor.""",22/10/2024 17:57
38974,17859,1055,3726,3,"""Not as expected; quality is poor.""",8/01/2024 0:02
28442,13083,1504,1056,5,Color was different from images.,21/02/2024 1:03
39506,18112,6,2646,5,Item arrived damaged.,23/09/2024 21:29
20273,9369,821,8573,2,Color was different from images.,16/06/2025 5:29
33653,15455,1690,8641,4,Item arrived damaged.,13/12/2024 12:05
26198,12069,86,1599,4,Value for money.,2/02/2024 6:29
943,420,848,9528,3,Fast shipping and good packaging.,6/05/2025 4:56
6163,2790,1606,4983,4,Works perfectly!,24/10/2025 0:15
15311,7053,1299,3084,4,Fast shipping and good packaging.,12/09/2024 5:43
39825,18268,594,300,5,Decent product for the price.,27/01/2024 18:29
4873,2215,1258,1300,4,Fast shipping and good packaging.,31/05/2024 5:33
38151,17498,366,9785,4,Customer service was helpful.,27/10/2025 23:31
32823,15065,242,6553,5,"""Not as expected; quality is poor.""",12/03/2024 11:06
22106,10208,1975,7605,3,Works perfectly!,7/06/2025 6:45
7658,3491,871,7026,4,Works perfectly!,20/04/2025 19:27
37315,17126,1669,5993,5,Highly recommend this brand.,30/05/2024 10:28
1821,828,515,8164,1,Customer service was helpful.,25/07/2025 8:36
33872,15556,1910,6498,5,Highly recommend this brand.,23/06/2024 17:17
37388,17165,610,3479,3,"""Not as expected; quality is poor.""",26/06/2025 5:56
6763,3064,1316,4378,3,Works perfectly!,14/05/2024 8:05
17408,8038,1377,2951,3,Highly recommend this brand.,19/04/2025 16:32
487,216,610,8467,4,Customer service was helpful.,9/02/2024 10:23
8100,3705,448,8295,3,Fast shipping and good packaging.,18/10/2024 5:55
12958,5952,688,2836,4,Item arrived damaged.,9/08/2025 21:05
35567,16332,670,7597,5,Item arrived damaged.,27/10/2025 3:54
38265,17542,757,632,1,Works perfectly!,15/09/2025 5:40
31214,14333,659,6532,4,Item arrived damaged.,1/03/2024 9:16
24494,11303,247,8856,4,Highly recommend this brand.,16/07/2025 12:01
31,12,83,9480,4,"""Not as expected; quality is poor.""",12/08/2024 9:19
1943,894,1157,9903,4,Fast shipping and good packaging.,5/05/2024 11:38
40850,18728,1713,231,3,Highly recommend this brand.,13/02/2025 18:48
38195,17515,1988,6786,5,Fast shipping and good packaging.,5/08/2024 18:28
13822,6364,1773,3564,4,Highly recommend this brand.,15/09/2024 4:03
12226,5621,637,9373,5,Value for money.,4/11/2025 3:42
29295,13467,1276,6859,2,Value for money.,13/06/2024 2:35
42767,19650,145,2853,4,Color was different from images.,22/04/2024 5:29
8745,4002,251,2461,5,Customer service was helpful.,4/01/2024 1:33
11092,5105,1589,1654,5,Fast shipping and good packaging.,28/04/2025 6:08
5379,2446,1091,1162,4,Item arrived damaged.,14/10/2024 7:55
1798,819,894,6319,2,Value for money.,17/07/2024 6:11
3685,1667,759,8138,5,"""Not as expected; quality is poor.""",8/05/2024 0:33
27712,12743,1600,9476,4,"""Not as expected; quality is poor.""",16/04/2025 11:48
31124,14299,1865,3731,1,Customer service was helpful.,11/06/2025 23:08
20748,9590,299,4114,4,Highly recommend this brand.,6/09/2024 21:59
27621,12700,1369,5229,4,Highly recommend this brand.,1/04/2025 7:16
15979,7376,1321,7306,4,Value for money.,29/07/2024 14:23
1134,507,1562,1202,4,Color was different from images.,24/08/2024 14:05
32207,14792,1264,8006,4,"""Excellent product; will buy again.""",26/06/2024 9:24
26790,12328,1947,6911,3,Decent product for the price.,18/09/2024 4:14
25637,11828,962,8574,2,Item arrived damaged.,12/11/2025 12:49
27304,12557,883,927,4,Color was different from images.,7/05/2024 11:00
12188,5600,524,9104,2,Item arrived damaged.,9/06/2025 20:29
42188,19369,1841,1050,4,Works perfectly!,17/04/2024 0:31
28879,13285,7,1714,4,Customer service was helpful.,20/04/2025 21:56
39238,17993,542,9414,4,Item arrived damaged.,12/01/2024 20:43
34034,15625,691,4404,3,Works perfectly!,1/11/2024 22:44
38284,17549,28,2519,4,Item arrived damaged.,20/02/2025 3:13
25868,11928,1939,5386,5,Works perfectly!,22/05/2025 10:39
1692,772,1790,6895,3,"""Not as expected; quality is poor.""",26/08/2025 6:14
21169,9784,1156,6500,3,Item arrived damaged.,6/10/2025 16:09
33642,15452,1006,4918,5,"""Not as expected; quality is poor.""",8/06/2025 18:55
14130,6505,1202,6050,4,Color was different from images.,9/06/2025 8:28
17826,8240,1072,9196,3,Highly recommend this brand.,25/01/2025 1:12
39996,18344,1430,8977,1,Value for money.,11/04/2025 13:01
27884,12823,1259,3907,2,Value for money.,19/04/2025 21:37
23026,10625,281,6649,4,Color was different from images.,31/01/2025 1:17
19616,9072,355,1218,3,Color was different from images.,15/01/2024 5:37
37326,17131,1849,2007,4,Works perfectly!,15/09/2025 5:24
21389,9885,59,4146,2,"""Excellent product; will buy again.""",14/04/2025 23:34
38331,17569,1310,4900,2,Fast shipping and good packaging.,13/04/2024 1:54
42893,19716,421,4203,3,Color was different from images.,15/10/2025 8:38
16489,7614,1145,1383,4,Fast shipping and good packaging.,18/10/2024 10:27
36989,16973,370,6128,4,Highly recommend this brand.,11/11/2024 9:20
14056,6471,876,4439,4,Customer service was helpful.,6/04/2024 4:17
4839,2201,361,3243,3,Item arrived damaged.,25/02/2025 6:29
16901,7805,1545,2058,3,Fast shipping and good packaging.,8/01/2024 3:59
30641,14074,1697,7998,3,Color was different from images.,13/06/2025 6:12
38272,17544,655,7483,5,Decent product for the price.,5/09/2025 17:13
35420,16265,1725,2667,5,Customer service was helpful.,31/07/2024 8:13
11577,5326,478,9010,4,"""Not as expected; quality is poor.""",27/06/2025 6:15
4818,2190,964,3279,2,Value for money.,3/07/2025 15:35
5924,2687,1741,5847,1,"""Not as expected; quality is poor.""",19/12/2024 21:19
17848,8250,1079,1992,3,Fast shipping and good packaging.,22/07/2025 10:45
31284,14366,1126,390,4,Decent product for the price.,7/09/2025 3:28
7545,3436,813,7611,4,Works perfectly!,11/09/2024 23:09
15032,6922,1171,6986,5,Works perfectly!,16/03/2024 0:05
16055,7415,851,9316,1,Item arrived damaged.,20/01/2024 3:37
17520,8092,1347,7739,4,Item arrived damaged.,1/03/2025 18:30
37833,17353,1652,3262,3,"""Excellent product; will buy again.""",7/01/2025 13:20
6353,2872,1343,5699,3,Customer service was helpful.,20/07/2024 10:30
22183,10252,1477,7653,1,Item arrived damaged.,13/02/2024 22:05
38703,17732,1613,462,4,Color was different from images.,24/02/2025 19:08
22008,10161,97,3061,4,"""Not as expected; quality is poor.""",10/10/2025 20:29
17808,8232,822,4989,4,Works perfectly!,16/01/2025 14:23
14792,6815,129,6273,5,Fast shipping and good packaging.,23/04/2025 15:50
22678,10474,142,7554,4,Customer service was helpful.,4/03/2025 15:47
17093,7896,91,5226,4,"""Excellent product; will buy again.""",19/04/2024 9:50
28981,13336,798,7008,3,Works perfectly!,22/03/2025 12:46
10913,5021,69,7133,2,Color was different from images.,30/09/2024 14:11
29826,13707,1400,3482,2,Decent product for the price.,8/07/2025 3:45
28573,13144,509,5107,5,"""Not as expected; quality is poor.""",3/04/2024 2:29
26870,12359,871,8157,4,Item arrived damaged.,3/05/2024 20:49
20385,9418,1916,8084,4,Highly recommend this brand.,11/07/2025 11:57
6149,2784,1507,1588,3,Decent product for the price.,16/02/2024 6:08
2387,1098,459,7014,2,Value for money.,20/12/2024 12:52
29719,13655,95,4714,4,"""Not as expected; quality is poor.""",22/08/2024 20:08
42664,19604,1910,8030,3,Value for money.,8/05/2025 23:44
25289,11669,1085,9312,5,Customer service was helpful.,21/02/2025 22:10
30470,13995,1468,3528,3,"""Excellent product; will buy again.""",7/01/2024 14:31
9089,4166,1925,3375,3,Highly recommend this brand.,18/03/2024 20:56
32692,15007,1674,3136,3,"""Excellent product; will buy again.""",29/01/2024 23:25
35658,16374,633,5486,4,"""Not as expected; quality is poor.""",23/06/2024 15:32
8597,3936,1969,7743,2,"""Not as expected; quality is poor.""",15/07/2025 17:43
9046,4147,1965,1916,4,"""Excellent product; will buy again.""",12/03/2024 7:04
33481,15376,1424,3612,4,Fast shipping and good packaging.,26/08/2024 22:33
23088,10652,614,2086,2,Value for money.,12/11/2024 11:43
35179,16159,1892,1125,4,Color was different from images.,31/08/2024 4:01
33054,15178,1293,5598,4,Highly recommend this brand.,18/03/2025 11:14
23270,10737,712,7056,3,Decent product for the price.,22/01/2024 1:43
34369,15780,129,8940,3,"""Excellent product; will buy again.""",11/07/2025 22:23
39587,18152,1557,6055,5,Item arrived damaged.,24/02/2025 21:50
40338,18491,1629,3830,4,Decent product for the price.,30/12/2024 3:54
4330,1981,1482,7905,4,"""Not as expected; quality is poor.""",9/07/2024 22:29
26180,12059,1853,8389,3,Customer service was helpful.,18/12/2024 13:21
37719,17307,94,3356,1,Decent product for the price.,5/08/2025 3:25
21731,10035,148,725,3,"""Excellent product; will buy again.""",15/08/2024 10:35
25233,11648,136,7286,3,Fast shipping and good packaging.,24/11/2024 20:00
12716,5839,581,1968,3,Item arrived damaged.,26/10/2024 18:58
22891,10566,40,6803,4,Works perfectly!,15/10/2025 17:29
38561,17674,1085,2677,5,Works perfectly!,16/03/2025 23:39
12155,5586,605,8702,4,Color was different from images.,15/07/2025 14:55
34484,15833,1390,2540,4,"""Excellent product; will buy again.""",26/01/2025 5:06
2216,1025,698,3411,3,Fast shipping and good packaging.,31/12/2024 0:32
24669,11380,1672,1144,3,Item arrived damaged.,4/09/2024 21:56
21379,9882,988,9299,4,"""Not as expected; quality is poor.""",3/09/2025 22:12
8279,3787,1777,5584,3,Color was different from images.,18/09/2025 3:04
24533,11322,1598,2448,2,Value for money.,1/10/2025 17:05
33633,15448,827,7627,4,"""Not as expected; quality is poor.""",8/04/2025 2:09
4725,2149,662,9096,5,Highly recommend this brand.,21/03/2025 3:45
19606,9067,1348,832,3,Value for money.,10/02/2024 23:46
43027,19787,1121,8212,3,Value for money.,12/05/2025 4:53
31587,14505,1621,2502,5,"""Not as expected; quality is poor.""",8/09/2024 1:32
29225,13444,234,9804,5,"""Not as expected; quality is poor.""",4/11/2024 17:13
16840,7776,73,4790,5,Highly recommend this brand.,26/03/2025 23:16
18346,8475,988,7268,4,Works perfectly!,28/04/2024 0:15
16791,7754,950,464,3,Customer service was helpful.,7/03/2025 12:24
21060,9727,124,7449,3,Value for money.,8/07/2025 11:28
14002,6446,1952,3827,5,Decent product for the price.,1/06/2024 8:52
11981,5512,492,9495,4,Decent product for the price.,21/10/2024 10:13
37229,17090,451,6093,4,Fast shipping and good packaging.,2/04/2025 16:13
27502,12648,608,7288,3,Color was different from images.,13/12/2024 19:20
1573,710,131,6722,2,Customer service was helpful.,22/04/2025 13:59
37359,17148,910,1885,5,Item arrived damaged.,8/10/2024 11:37
40599,18614,302,4961,2,Works perfectly!,5/02/2025 10:03
16615,7672,865,4619,4,Decent product for the price.,4/04/2024 22:13
37424,17180,500,7981,4,Decent product for the price.,25/01/2025 14:00
6,2,803,3247,4,Works perfectly!,21/06/2024 7:11
21284,9835,405,8908,3,Color was different from images.,17/12/2024 4:12
7608,3463,1637,4855,3,Fast shipping and good packaging.,22/05/2025 15:29
28562,13140,1422,8431,4,Value for money.,11/11/2024 12:43
43392,19946,1055,9046,4,Value for money.,7/05/2025 4:02
32602,14968,1859,386,5,Color was different from images.,21/04/2024 14:45
22718,10495,346,2486,4,Highly recommend this brand.,26/08/2024 20:52
36952,16955,392,9238,5,"""Not as expected; quality is poor.""",14/09/2025 18:14
8389,3836,34,5689,2,Decent product for the price.,3/08/2025 12:56
3610,1634,1330,4306,3,"""Not as expected; quality is poor.""",13/04/2025 15:00
38376,17590,1469,2793,2,Fast shipping and good packaging.,5/04/2025 0:37
33573,15426,1874,5420,4,Fast shipping and good packaging.,5/10/2025 20:39
16195,7487,1687,442,3,Value for money.,30/11/2024 2:30
8529,3904,906,7650,4,"""Not as expected; quality is poor.""",12/09/2024 14:58
18441,8513,600,2553,4,Fast shipping and good packaging.,7/08/2025 3:33
19707,9114,1444,5132,4,Works perfectly!,19/01/2024 12:31
26674,12278,339,8728,4,Color was different from images.,16/04/2025 14:46
23589,10879,1423,8897,5,Value for money.,22/06/2025 7:44
19849,9183,178,3887,2,Color was different from images.,1/11/2024 11:49
28094,12920,1946,2045,4,Item arrived damaged.,23/04/2024 9:09
38323,17567,1766,8724,5,Value for money.,30/06/2024 5:28
42965,19752,196,9341,3,Customer service was helpful.,25/04/2025 15:20
31924,14664,478,2574,2,"""Excellent product; will buy again.""",27/05/2025 15:28
23343,10768,1745,1680,5,Decent product for the price.,30/08/2025 5:02
7067,3202,711,3576,4,Color was different from images.,15/09/2024 15:13
3170,1438,1585,9956,4,Value for money.,16/03/2025 0:49
19237,8892,1638,9675,3,Item arrived damaged.,22/08/2025 4:34
10091,4636,1058,185,5,"""Not as expected; quality is poor.""",4/02/2024 15:16
42609,19574,710,9426,2,Customer service was helpful.,12/05/2024 21:40
11497,5295,1057,3397,2,Item arrived damaged.,23/05/2024 23:20
11591,5333,989,5052,4,Works perfectly!,9/10/2025 7:08
15177,6992,777,5913,3,Works perfectly!,22/10/2025 14:09
18461,8523,570,2958,3,Value for money.,6/12/2024 1:56
1963,905,611,3796,5,"""Excellent product; will buy again.""",8/11/2025 18:13
7999,3660,192,559,4,Customer service was helpful.,15/04/2025 15:41
30438,13982,1590,4378,3,Value for money.,17/10/2024 13:06
25694,11849,1380,4115,3,Customer service was helpful.,12/01/2024 7:20
22551,10415,879,8069,3,Works perfectly!,31/10/2025 2:00
42645,19593,595,8003,3,Value for money.,12/08/2024 7:16
40638,18631,1574,614,4,Works perfectly!,17/03/2025 6:23
35418,16265,1945,2667,5,Fast shipping and good packaging.,1/08/2024 23:32
10466,4819,415,2693,5,Works perfectly!,16/05/2025 2:57
16661,7693,1303,9333,2,Customer service was helpful.,25/02/2024 10:21
4098,1869,990,6053,5,Item arrived damaged.,4/12/2024 12:29
3012,1371,143,2114,4,Highly recommend this brand.,9/10/2025 3:44
27587,12685,1362,2027,5,Customer service was helpful.,27/12/2024 2:56
19243,8896,1319,863,5,"""Not as expected; quality is poor.""",10/07/2024 18:30
32300,14836,57,4334,5,Value for money.,25/01/2024 11:34
20544,9498,1662,5376,5,Item arrived damaged.,21/06/2025 23:12
36671,16821,1179,5538,3,Customer service was helpful.,24/04/2024 7:55
30723,14108,918,4145,5,Decent product for the price.,30/03/2024 3:56
7279,3311,1475,2883,5,Item arrived damaged.,30/08/2025 3:45
35306,16213,1249,4769,3,Fast shipping and good packaging.,16/03/2024 21:58
12145,5582,583,4277,2,Value for money.,17/06/2025 16:37
17677,8172,133,2809,3,"""Not as expected; quality is poor.""",8/01/2025 11:40
11391,5243,1432,6019,2,Customer service was helpful.,11/07/2024 7:50
18237,8426,1946,6274,4,Item arrived damaged.,6/11/2024 9:43
9862,4525,1356,3439,3,Color was different from images.,31/07/2024 12:25
2937,1344,46,4123,5,Fast shipping and good packaging.,1/03/2025 8:51
1660,759,338,8493,2,"""Not as expected; quality is poor.""",11/11/2024 8:05
33495,15383,1103,846,2,"""Excellent product; will buy again.""",13/04/2024 2:54
23269,10736,774,5695,4,"""Not as expected; quality is poor.""",29/09/2025 12:13
14797,6817,740,909,3,Color was different from images.,22/01/2025 13:59
13580,6250,1294,5556,3,"""Excellent product; will buy again.""",12/07/2024 4:47
19388,8966,333,546,5,Value for money.,15/07/2025 16:28
10168,4673,1612,2683,5,Item arrived damaged.,19/02/2025 16:15
28494,13109,584,1561,2,"""Not as expected; quality is poor.""",17/05/2025 13:38
39555,18136,1614,4418,2,Customer service was helpful.,22/06/2024 18:43
12538,5760,478,7777,5,Works perfectly!,19/03/2025 23:05
515,231,743,6547,4,Works perfectly!,28/09/2025 13:29
1094,491,813,6170,4,Fast shipping and good packaging.,29/05/2024 14:26
938,418,886,3487,4,Works perfectly!,26/03/2025 1:35
12039,5539,1330,5348,3,Fast shipping and good packaging.,8/11/2025 8:33
32997,15149,603,4294,3,"""Not as expected; quality is poor.""",20/03/2025 14:34
39188,17968,1459,3391,5,Highly recommend this brand.,1/04/2024 6:11
22698,10484,1739,6920,2,Item arrived damaged.,2/02/2024 4:11
28081,12914,112,9996,3,Color was different from images.,27/10/2025 23:36
40877,18742,633,7552,2,Fast shipping and good packaging.,20/02/2024 14:30
10058,4617,1977,4061,4,Decent product for the price.,9/10/2025 10:01
4524,2065,1034,7166,3,Item arrived damaged.,11/10/2024 19:50
5894,2671,863,2928,5,Value for money.,29/09/2024 16:07
41738,19150,444,5748,5,"""Excellent product; will buy again.""",12/05/2025 12:10
36108,16583,1655,6750,5,Fast shipping and good packaging.,27/07/2025 20:00
18988,8765,825,9695,2,Value for money.,14/01/2025 23:51
14344,6606,872,7369,1,Highly recommend this brand.,12/02/2024 3:26
18798,8683,144,1465,3,Highly recommend this brand.,31/01/2025 2:28
24035,11088,289,8248,3,Value for money.,23/01/2024 17:15
18805,8687,1983,772,5,Customer service was helpful.,29/01/2025 9:11
42506,19526,1954,5809,4,Color was different from images.,13/11/2025 4:21
21341,9865,103,9873,4,Fast shipping and good packaging.,20/06/2024 20:47
25156,11612,1839,1480,5,Customer service was helpful.,24/04/2024 12:47
22994,10611,861,6474,4,Value for money.,31/03/2024 11:45
1989,917,1593,36,4,"""Excellent product; will buy again.""",21/06/2025 17:49
18319,8461,1672,1104,3,"""Excellent product; will buy again.""",28/02/2024 21:56
3320,1503,37,8850,3,Customer service was helpful.,3/06/2025 10:51
40637,18631,1254,614,3,Highly recommend this brand.,27/12/2024 10:44
39404,18067,1909,4692,5,Works perfectly!,11/02/2024 0:31
35455,16285,1799,263,2,Customer service was helpful.,10/07/2024 12:39
23262,10732,1203,1022,3,Decent product for the price.,14/01/2025 4:39
7708,3514,1744,3223,3,Highly recommend this brand.,27/02/2025 22:38
13452,6191,1052,2239,5,Item arrived damaged.,5/02/2024 22:03
23552,10866,1306,7735,4,Decent product for the price.,10/02/2025 0:01
29551,13583,1009,1922,3,"""Excellent product; will buy again.""",28/09/2024 22:50
20141,9306,1409,7688,5,"""Excellent product; will buy again.""",27/08/2025 16:32
39608,18159,1199,1165,4,Works perfectly!,21/03/2024 0:28
25486,11762,1702,7632,3,"""Not as expected; quality is poor.""",18/12/2024 7:35
11325,5211,136,4226,5,Value for money.,27/03/2024 13:21
11949,5497,765,1301,2,"""Excellent product; will buy again.""",19/02/2025 2:08
22291,10300,1744,9634,4,Customer service was helpful.,14/05/2025 0:01
6705,3034,979,5670,3,Fast shipping and good packaging.,28/08/2024 3:35
4998,2284,1349,37,5,Customer service was helpful.,19/09/2025 17:40
5925,2688,1717,631,5,Works perfectly!,26/02/2024 5:50
12604,5790,1787,8951,3,"""Not as expected; quality is poor.""",29/02/2024 1:12
28817,13256,1842,5106,5,"""Not as expected; quality is poor.""",2/10/2025 19:02
9218,4229,1700,8142,5,"""Not as expected; quality is poor.""",13/08/2025 19:08
36692,16834,212,583,2,Works perfectly!,1/09/2025 22:07
26749,12310,334,1563,3,Decent product for the price.,8/10/2025 15:22
30061,13815,1227,5059,5,Highly recommend this brand.,30/07/2024 7:06
7777,3545,200,9206,3,Customer service was helpful.,2/12/2024 7:07
35234,16184,1550,6672,3,Item arrived damaged.,26/03/2025 15:36
6192,2801,735,684,5,"""Excellent product; will buy again.""",9/07/2024 7:26
36530,16770,1784,4595,4,Highly recommend this brand.,30/05/2025 23:58
38306,17559,683,341,3,Fast shipping and good packaging.,17/02/2024 13:42
8349,3820,1708,4472,5,"""Excellent product; will buy again.""",23/03/2024 23:33
2324,1071,1362,2866,2,"""Not as expected; quality is poor.""",4/04/2025 13:54
9450,4342,541,9261,3,Value for money.,25/06/2025 13:39
22357,10327,466,4827,2,Highly recommend this brand.,28/02/2025 15:12
19946,9223,1280,8501,5,Item arrived damaged.,26/10/2024 21:38
31809,14609,682,5744,4,Highly recommend this brand.,31/05/2025 21:04
40331,18490,646,159,5,Item arrived damaged.,3/07/2025 18:42
5102,2325,866,765,5,Highly recommend this brand.,22/05/2024 13:49
32431,14895,1758,5092,4,Highly recommend this brand.,15/03/2024 15:01
12324,5662,1440,5060,3,Item arrived damaged.,30/06/2024 9:33
23013,10620,1173,4937,5,Highly recommend this brand.,4/06/2025 4:09
11293,5198,1457,3570,2,Color was different from images.,21/09/2025 8:55
23389,10791,1858,9632,4,Item arrived damaged.,7/09/2024 11:25
20912,9666,1730,8775,1,Highly recommend this brand.,9/07/2025 2:32
29853,13718,1454,6704,3,"""Not as expected; quality is poor.""",23/05/2024 16:36
20612,9531,1039,985,5,"""Not as expected; quality is poor.""",26/07/2024 16:41
7199,3269,872,1792,4,Decent product for the price.,22/09/2024 6:16
9787,4497,1509,4751,4,Color was different from images.,17/07/2024 8:30
10283,4732,1416,788,4,Fast shipping and good packaging.,2/10/2024 1:33
1704,777,1587,2342,3,Decent product for the price.,31/10/2024 17:49
43505,19992,1121,1855,1,Decent product for the price.,15/08/2025 15:24
13119,6025,959,7472,4,Decent product for the price.,7/12/2024 11:38
13290,6113,1477,245,4,Works perfectly!,17/10/2024 3:37
6221,2814,288,4265,3,Works perfectly!,26/08/2025 10:54
3871,1754,151,1816,3,Item arrived damaged.,19/03/2024 22:58
13018,5981,1107,7325,5,Color was different from images.,14/12/2024 0:12
17745,8197,758,3407,3,Fast shipping and good packaging.,24/03/2025 14:49
21527,9944,1085,1854,4,"""Excellent product; will buy again.""",13/11/2024 22:01
37716,17306,1780,3289,3,Item arrived damaged.,15/08/2025 9:18
11398,5247,247,8417,4,Value for money.,13/04/2025 2:18
37144,17049,635,6308,3,Customer service was helpful.,22/05/2025 3:25
33343,15309,1307,4879,3,Works perfectly!,29/10/2024 13:01
11535,5309,22,34,4,Works perfectly!,29/10/2025 1:32
603,268,1726,5394,4,"""Not as expected; quality is poor.""",1/01/2025 11:49
23764,10964,1285,9849,3,Color was different from images.,28/01/2024 1:14
32156,14766,839,371,4,Decent product for the price.,16/08/2024 10:49
12178,5597,902,4397,3,Decent product for the price.,24/12/2024 5:18
41474,19025,8,6408,5,Value for money.,3/02/2025 10:43
20854,9635,1046,1763,4,Customer service was helpful.,7/05/2024 20:12
1432,643,180,5384,4,Decent product for the price.,31/01/2025 23:22
20892,9656,1325,5197,4,Fast shipping and good packaging.,13/11/2025 1:51
12779,5865,1298,7957,4,"""Not as expected; quality is poor.""",22/03/2025 5:59
32540,14939,1334,1521,5,"""Not as expected; quality is poor.""",8/11/2024 18:52
32931,15118,1576,9360,5,Highly recommend this brand.,31/03/2024 23:13
