orderid,userid,orderdate,orderstatus,orderamount
12462,2768,15/08/2024,shipped,701.84
15999,7583,20/07/2024,processing,3812.43
14881,5059,5/04/2025,completed,128.42
18201,7400,6/10/2024,completed,602.87
18309,4857,11/03/2024,shipped,17.5
16697,3914,12/03/2024,processing,425.64
5493,8647,20/02/2024,returned,1394.51
2736,3329,3/02/2024,cancelled,82.68
12138,4608,2/12/2024,returned,46.97
10046,6373,8/11/2024,cancelled,363.96
1401,5428,11/06/2025,processing,1099.89
7481,4674,6/06/2024,processing,63.31
1216,2372,16/08/2025,completed,56.26
12722,1223,18/07/2024,returned,456.3
19953,2289,28/07/2025,returned,347.27
2033,4248,11/12/2024,processing,1362.28
7552,5758,10/11/2025,completed,949.7
338,7476,7/01/2024,completed,377.51
6304,4441,13/08/2024,completed,251.79
12335,553,16/06/2024,completed,73.31
17888,8835,21/05/2024,processing,2035.42
12703,8298,26/04/2024,returned,2474.74
18283,901,2/02/2025,processing,517.26
19592,3593,1/09/2024,shipped,56.58
12633,2851,7/06/2025,returned,173.79
16716,5361,13/09/2024,completed,597.8
3808,3819,13/02/2024,shipped,8.89
10683,1210,16/01/2025,completed,219.95
4912,3115,30/09/2025,cancelled,231.74
10380,32,29/07/2025,processing,83.41
3400,1861,27/04/2024,shipped,473.37
12416,8403,13/10/2025,shipped,269.19
12936,8412,30/09/2025,processing,33.11
6155,5401,25/07/2024,shipped,1935.66
13497,3899,6/04/2024,completed,1551.04
14013,4108,30/09/2024,returned,135.83
10489,7369,10/08/2025,shipped,187.92
9357,5653,23/08/2024,completed,93.84
1972,63,24/06/2025,returned,483.6
8856,5844,23/04/2024,cancelled,450.64
14892,8682,10/05/2025,shipped,1217.06
1292,3672,12/01/2025,completed,24.11
8227,2695,17/04/2024,completed,742.83
4935,5578,24/06/2025,processing,139.37
5216,4887,15/04/2024,processing,264.87
5940,3668,6/06/2025,returned,234.12
7792,9674,28/04/2024,shipped,240.3
8320,3305,5/10/2025,shipped,186.05
18552,9705,27/08/2025,shipped,154.29
19084,4050,18/05/2024,shipped,1716.3
4239,8868,8/04/2024,processing,1414.53
4889,511,17/01/2025,cancelled,253.7
13813,3377,20/06/2024,returned,73.69
3099,2076,13/04/2025,processing,673.64
3581,238,13/03/2024,cancelled,26.49
18735,9292,10/06/2025,returned,2.72
18749,2842,4/09/2024,shipped,311.01
13329,822,18/06/2025,returned,837.26
14735,7534,5/10/2025,returned,326.27
14538,3778,3/04/2024,returned,834.3
13242,4056,25/02/2024,cancelled,618.08
9733,426,14/10/2025,processing,77.46
18071,262,9/01/2024,processing,1878.79
18337,6032,31/03/2024,completed,661.52
6272,7125,20/05/2025,shipped,244.95
8457,8311,24/05/2025,cancelled,475.79
9043,8378,6/02/2025,completed,283.17
9591,4603,9/08/2024,completed,484.29
10965,5387,21/05/2025,processing,486.44
12782,9648,30/12/2024,shipped,439.66
4894,5263,20/02/2025,completed,1426.01
7094,6736,11/09/2024,returned,44.38
5718,2456,21/08/2024,cancelled,562.54
10880,6431,16/05/2024,shipped,423.86
12705,8562,18/05/2024,cancelled,783.79
9066,6210,18/01/2024,shipped,2201.62
12180,9074,1/08/2024,processing,15.26
18865,1059,14/01/2025,shipped,845.26
16599,1313,4/09/2025,cancelled,153.82
2897,6722,14/12/2024,completed,5.28
1708,9989,15/03/2025,cancelled,16.86
10101,9554,11/05/2024,cancelled,1205.1
14163,9788,31/10/2024,cancelled,189.22
6934,2062,26/11/2024,processing,405.41
9177,9974,28/03/2024,shipped,964.23
6695,484,3/05/2025,returned,1497.22
3002,2834,20/10/2024,cancelled,739.49
1111,3907,25/06/2024,returned,673.29
11813,7833,12/09/2024,completed,75.81
3533,7004,10/01/2024,shipped,592.06
13589,6022,10/04/2025,cancelled,439.38
17476,6386,11/08/2025,returned,37.84
5697,6000,16/10/2025,processing,163.28
9293,9456,9/03/2024,shipped,1277.73
5752,2706,19/02/2024,processing,140.04
6538,4163,31/12/2024,processing,76.15
18732,763,22/08/2025,completed,737.24
5309,34,2/07/2025,processing,121.15
14525,4659,9/01/2025,completed,3030.95
16247,3307,7/02/2025,cancelled,22.01
10188,3649,20/03/2025,cancelled,2004.61
13227,1785,9/08/2024,shipped,1236.76
7977,7446,26/01/2025,cancelled,1022.07
16705,2417,15/08/2025,completed,1377.14
8434,9316,18/10/2024,completed,21.1
2655,9380,16/09/2024,cancelled,460.66
18925,3114,30/04/2024,processing,84.8
13578,4669,24/09/2024,completed,112.57
18906,2546,22/02/2025,completed,269.94
11210,1108,14/04/2025,returned,204.47
5069,8827,25/08/2024,shipped,479.28
14643,1298,10/08/2024,returned,118.82
856,983,18/07/2025,shipped,633.83
5068,730,24/09/2024,completed,294.45
1519,7123,27/07/2024,processing,565.28
13437,2115,11/04/2024,processing,233.8
12910,5211,5/08/2025,completed,43.4
8073,9669,2/11/2024,returned,492.64
5078,6252,23/05/2024,cancelled,187.79
19585,6718,20/12/2024,cancelled,1190.96
5171,5099,19/06/2024,completed,1680.02
18250,7102,6/11/2024,returned,851.88
2705,3958,1/03/2025,cancelled,180.4
7377,9097,29/09/2025,completed,1287.95
883,8014,16/09/2024,returned,24.2
15950,7832,9/04/2025,returned,1089.82
4599,9719,3/10/2024,processing,731.87
6416,8476,23/11/2024,completed,948.69
15494,2419,12/01/2024,completed,231.26
13444,9804,17/06/2025,processing,2218.59
2528,377,7/01/2025,returned,8.2
4225,8076,2/10/2025,returned,801.98
13735,8444,27/03/2024,returned,19.08
16221,8618,20/03/2024,cancelled,571.58
5151,1484,20/03/2025,processing,1243.77
8553,4809,5/09/2024,processing,10.35
12237,8400,14/05/2025,processing,2323.68
17818,953,27/02/2024,cancelled,636.25
14813,4852,31/12/2024,processing,100.98
6600,2492,30/08/2024,completed,697.59
1380,3969,15/09/2024,returned,58.76
75,3631,14/04/2025,processing,420.44
1635,4451,19/01/2024,shipped,2852.3
10753,667,15/02/2025,processing,1057.09
3923,9656,6/07/2025,completed,1491.17
17230,5173,16/10/2024,returned,5.66
10061,7957,23/08/2024,processing,108.57
11420,3235,29/08/2025,shipped,455.77
7955,8510,29/10/2024,completed,217.37
19128,5654,13/05/2025,completed,15.66
10482,5672,12/09/2024,shipped,887.11
7533,4247,8/07/2024,completed,10.78
17286,1133,5/06/2024,processing,1536.6
6257,3002,3/08/2024,completed,453.07
17049,6308,16/03/2025,returned,110.8
9050,2137,19/08/2025,cancelled,167.4
3894,1160,15/07/2025,returned,340.5
2730,2329,21/10/2025,cancelled,113.98
3698,7416,10/08/2024,returned,151.83
16108,4253,18/10/2025,processing,353.04
1664,5333,24/05/2025,processing,75.5
11124,2223,13/10/2025,processing,91.05
9367,5828,16/04/2025,cancelled,1164.96
14821,188,26/05/2025,returned,12.81
5793,965,15/08/2024,cancelled,94.35
16361,9535,6/05/2024,cancelled,888.47
7143,5276,25/11/2024,returned,81.54
14124,3770,28/05/2025,cancelled,26.39
15872,1886,24/12/2024,shipped,2447.31
9189,1403,11/04/2024,shipped,1175.49
9304,5778,24/06/2025,returned,785.27
3507,6117,27/10/2025,returned,80.37
15199,8713,19/06/2024,cancelled,619.24
2832,9267,11/05/2025,completed,579.73
10048,7875,2/10/2024,returned,3438.14
8051,1109,5/09/2025,cancelled,20.06
9140,4353,28/11/2024,cancelled,379.76
10458,536,19/01/2025,processing,404.39
892,8148,18/07/2024,processing,235.42
10345,1298,13/08/2025,returned,505.48
2295,9209,6/03/2025,cancelled,373.74
15395,2949,24/11/2024,completed,9.97
12475,1680,22/05/2025,cancelled,958.95
10330,6754,15/03/2025,shipped,1195.38
16773,6853,10/10/2024,shipped,2259.12
17880,2360,29/05/2024,shipped,56.74
5167,8480,16/10/2024,completed,1211.04
11028,6814,28/04/2025,returned,40.38
6186,4376,12/05/2025,completed,933.64
5707,8506,11/03/2024,returned,9.1
14177,5783,9/10/2024,returned,373.09
1052,8858,21/07/2025,processing,1295.76
15744,1872,5/06/2025,shipped,1298.39
16515,1562,17/03/2024,shipped,18.65
733,2635,23/12/2024,completed,322.3
11156,7526,28/06/2024,completed,525.77
19589,869,2/08/2024,shipped,39
15712,8140,4/07/2024,processing,208.34
2842,9956,24/06/2024,returned,138.24
15466,2392,24/05/2025,processing,80.1
13302,4821,5/03/2025,shipped,155.96
14222,3003,5/09/2025,shipped,253.68
17370,8109,3/01/2024,shipped,20.06
3971,5876,7/08/2025,cancelled,327.99
12342,5697,9/09/2024,cancelled,142.27
1624,919,6/11/2024,returned,224.63
12232,8608,25/04/2025,returned,105.3
11458,8172,15/08/2025,returned,140.37
4953,3544,25/10/2024,processing,1087.67
15483,8159,3/05/2024,shipped,295.84
17334,1782,17/07/2024,shipped,2795.99
18646,3696,4/01/2024,processing,54.48
5275,1235,3/11/2024,shipped,239.76
15275,2858,23/12/2024,cancelled,416.64
7309,919,5/05/2025,processing,1403.03
19780,8971,26/09/2025,completed,16.14
7802,1541,6/07/2025,returned,468.8
14383,5666,14/08/2024,processing,92.24
3681,4418,23/02/2024,processing,465.9
1361,5138,10/07/2024,processing,46.89
10809,6159,3/02/2024,shipped,831.9
2049,4495,8/06/2024,completed,107.42
6803,6527,18/03/2024,returned,1083.48
17377,6357,15/12/2024,returned,921
5632,5550,3/04/2024,processing,184.56
9326,3904,15/08/2024,shipped,916.09
16917,9372,19/02/2025,completed,322.77
11046,2456,27/12/2024,cancelled,95.48
10063,4235,28/12/2024,completed,252.09
17568,8622,9/06/2025,processing,300.24
7319,6136,13/07/2024,processing,225.5
11720,4136,6/02/2025,processing,307.06
19501,2453,28/03/2025,processing,1554.15
3799,9435,23/12/2024,shipped,2148.39
11026,1687,2/02/2025,processing,2101.53
7302,1008,24/04/2024,shipped,29.94
15545,4023,16/11/2024,processing,210.41
3875,2586,12/02/2024,returned,15.87
6687,8704,14/10/2024,processing,77.34
11617,981,10/01/2024,returned,296.68
15008,3219,21/03/2024,shipped,598.92
1629,4381,30/03/2024,completed,1415.15
11452,8777,20/09/2025,cancelled,61.15
8906,7928,22/10/2025,processing,259.72
3430,707,28/07/2024,shipped,26.48
12706,627,14/01/2024,processing,128.43
12463,378,10/03/2025,returned,59.9
8030,3195,2/01/2024,cancelled,226.2
6512,7558,19/05/2025,processing,326.9
11396,7445,20/02/2024,returned,238.35
17125,8013,1/10/2024,returned,400.48
11258,193,26/12/2024,processing,732.19
3570,2697,18/01/2025,completed,31.17
13042,3781,7/11/2024,shipped,259.15
8845,5640,10/07/2025,completed,177.89
7353,406,22/02/2024,cancelled,3.69
17402,9476,7/10/2024,shipped,596.52
9431,9484,3/11/2025,cancelled,189.88
18215,2588,27/11/2024,completed,817.35
1187,2028,26/04/2025,processing,732.28
19560,3142,8/11/2025,returned,11.67
4660,4335,6/10/2024,shipped,42.19
9007,5565,24/09/2025,cancelled,382.39
3259,8994,24/02/2024,completed,1129.33
11202,7638,14/04/2024,cancelled,213.98
14604,9405,28/08/2025,shipped,264.04
14699,4234,7/10/2024,returned,2823.15
16302,4380,18/05/2025,shipped,738.91
10955,7645,5/03/2024,returned,228.69
5257,4275,13/03/2024,shipped,62.58
4593,2324,13/08/2024,completed,157.79
10358,1064,2/04/2025,cancelled,20.23
1966,5203,19/11/2024,cancelled,144.93
3434,1826,13/08/2024,cancelled,54.48
370,3571,4/03/2024,processing,3716.4
11415,5670,7/10/2025,completed,439.88
9491,9388,2/10/2024,returned,64.11
14119,2668,1/02/2025,cancelled,52.71
319,68,8/08/2025,processing,366.84
3858,2029,18/03/2025,returned,2150.79
7191,961,20/10/2025,processing,84.12
6146,4910,9/09/2025,completed,112.52
13749,9089,20/08/2025,processing,25.96
2616,6090,23/07/2024,completed,117.1
7314,1509,9/11/2025,completed,1424.27
6659,7327,25/04/2025,processing,1440.1
11072,9352,9/07/2024,returned,401.23
14440,5907,16/04/2024,processing,348.74
15250,8899,27/10/2024,cancelled,449.45
7217,8215,23/07/2025,cancelled,2186.73
274,3564,26/05/2024,shipped,465.6
1541,2960,8/12/2024,shipped,324.15
12674,2830,8/07/2025,shipped,576.4
8504,1539,20/09/2024,processing,23.86
18836,9337,23/01/2025,cancelled,438.35
7764,7102,19/03/2025,completed,17.96
15285,1052,29/04/2024,processing,1235.37
13776,4963,18/09/2025,shipped,10.47
17046,4055,26/07/2025,cancelled,383.26
2808,2924,15/03/2024,shipped,8.97
8674,84,18/09/2024,shipped,375.68
7819,5966,6/02/2025,completed,1206.65
18136,4418,1/05/2025,cancelled,97.47
3390,9874,31/05/2024,cancelled,1093.26
7496,5770,15/09/2025,processing,275.73
5433,3240,24/06/2024,shipped,560.6
1133,2645,10/09/2025,cancelled,134.9
18645,9383,2/01/2024,shipped,153.06
11001,5833,20/03/2025,completed,161.28
11532,5426,1/04/2024,returned,11.71
5968,1771,14/08/2025,completed,1054.57
4221,3630,17/03/2025,processing,229.36
2652,620,25/01/2025,cancelled,139.12
19654,4713,31/05/2024,cancelled,405.41
15635,206,5/01/2024,returned,4436.59
873,705,16/10/2025,cancelled,274.66
8460,394,11/10/2024,cancelled,5112.76
16113,7190,15/09/2025,processing,420.75
18430,6697,24/03/2025,processing,852.04
7361,4232,16/06/2024,cancelled,226.36
3456,3262,4/03/2024,shipped,130.26
3240,8237,20/04/2025,returned,265.85
11597,6863,30/05/2024,returned,90.88
15091,513,3/07/2025,returned,172.29
10527,8815,18/01/2025,completed,243.26
18616,3770,22/01/2025,completed,103.35
18425,3644,18/06/2025,returned,295.61
6876,718,11/01/2024,cancelled,98.55
816,5222,6/03/2024,returned,443.67
7499,1157,6/02/2025,returned,104.31
13835,8721,13/05/2025,shipped,54.86
12223,6258,15/08/2024,returned,85.53
14426,6337,18/07/2025,returned,133.96
15242,6045,1/03/2024,processing,412.71
13062,7110,15/11/2024,completed,20.74
491,6170,3/04/2025,shipped,757.22
13359,9828,11/08/2024,completed,1523.53
7580,7377,22/01/2025,completed,390.18
19612,4787,4/04/2025,shipped,137.88
10177,4933,10/03/2024,completed,43.13
6580,7307,1/02/2024,shipped,295.81
13281,4613,29/05/2024,returned,610.68
13675,390,6/03/2025,processing,7.41
12831,2671,3/05/2024,processing,140.31
19396,7214,15/03/2025,processing,203.94
692,3305,4/01/2024,shipped,19.55
2951,1572,4/02/2024,completed,260.49
1057,3550,30/08/2025,cancelled,313.02
4839,4329,26/01/2024,cancelled,37.2
5122,2322,18/05/2025,processing,366.84
17442,8260,3/10/2025,processing,1257.27
10874,6486,23/12/2024,completed,190.88
1789,7155,20/10/2024,returned,877.12
14323,9583,17/10/2025,cancelled,684.46
1486,6659,21/02/2025,completed,120.94
9988,8856,22/03/2024,processing,250.58
17267,8957,22/03/2024,shipped,1664.68
15346,8588,23/05/2025,returned,70.82
18375,6446,28/09/2025,returned,965.14
201,3830,5/02/2025,cancelled,72.87
6352,7907,6/03/2025,shipped,54.48
14134,7626,11/11/2025,shipped,353.87
6913,9780,15/03/2025,cancelled,61.12
1182,6465,7/11/2024,processing,221.26
677,5112,18/05/2025,returned,651.99
14248,8268,16/09/2024,cancelled,1733.86
4255,2236,9/08/2024,returned,1708.25
4981,7356,11/10/2025,shipped,65
10546,204,6/10/2025,completed,516.84
4674,9221,20/04/2025,returned,233.73
12821,1786,1/08/2025,processing,2564.4
3138,1635,18/02/2024,shipped,194.2
8820,4447,13/06/2024,returned,82.98
5643,7999,9/09/2024,processing,107.76
13166,9315,26/06/2024,shipped,52.05
15807,3968,14/12/2024,cancelled,363.8
1498,9806,8/12/2024,shipped,562.36
1616,9459,10/03/2024,returned,318.64
5621,9373,2/01/2025,completed,110.8
18702,3558,31/03/2025,completed,422.52
727,2477,9/02/2025,processing,76.59
334,1482,21/03/2024,completed,119.1
15030,1469,6/05/2024,cancelled,771.2
862,6282,15/07/2025,processing,875.51
19632,7340,20/04/2025,returned,424.5
11622,4782,22/07/2025,completed,3090.2
7759,1057,5/01/2024,completed,95.94
16683,1295,18/03/2024,completed,94.66
3485,4479,27/08/2025,returned,112.71
2392,4481,16/02/2024,processing,1060.41
5220,5933,10/03/2024,shipped,131.08
1457,8080,20/03/2024,completed,1563.08
10950,3303,17/02/2025,returned,236.64
6078,8141,12/10/2024,processing,4631.86
5764,510,8/04/2024,returned,82.56
19050,9642,27/08/2025,shipped,165.27
4093,7930,3/08/2025,completed,375.5
11174,9528,27/08/2024,completed,297.56
12845,4111,24/02/2024,cancelled,119.86
136,1440,8/04/2025,cancelled,327.99
3665,3784,10/08/2025,shipped,27.33
16449,5538,24/07/2025,returned,166.22
890,3349,3/09/2024,processing,40.12
12713,7974,31/01/2024,processing,40.79
13565,4582,17/07/2024,completed,20.09
825,1203,8/07/2024,cancelled,479.02
3736,2893,3/10/2024,returned,1423.47
18740,877,17/03/2025,cancelled,1394.14
1254,3147,11/09/2024,processing,420.41
9718,5276,20/04/2024,shipped,1964.2
15774,3212,4/04/2024,cancelled,1029.1
7899,3812,26/03/2024,shipped,1102.97
3727,2357,4/06/2025,cancelled,1584.36
11900,8725,1/02/2025,completed,947.98
13968,4626,26/06/2024,shipped,253.6
7324,7851,1/09/2024,shipped,149.44
14087,8724,30/11/2024,completed,895.28
15229,3210,11/12/2024,processing,528.7
4241,1565,26/11/2024,completed,16.13
6758,7842,25/03/2025,returned,120.8
14725,6610,5/07/2024,returned,61.06
16202,8230,13/05/2024,shipped,43.35
12569,7297,12/04/2025,cancelled,2.22
1832,9862,24/07/2025,completed,1895.52
15005,4187,27/06/2025,processing,20.19
17111,1033,30/07/2025,cancelled,953.19
6112,9239,10/05/2025,returned,383.43
9902,3782,25/01/2025,processing,220.34
15073,4630,14/02/2025,completed,28.04
15480,7532,11/03/2025,completed,562.01
1729,4767,18/11/2024,processing,336.1
4088,3923,21/04/2025,processing,1275.55
5350,1796,4/02/2025,completed,499.03
16328,2646,7/06/2024,cancelled,420.35
12005,7150,27/01/2025,shipped,1491.57
2450,7159,23/10/2025,cancelled,207.26
9580,1912,19/08/2025,shipped,289.54
11853,8999,26/12/2024,returned,60.18
2534,140,4/11/2024,cancelled,283.47
1588,2816,25/07/2024,returned,138.7
4340,6516,24/02/2024,cancelled,1309.52
15973,4420,5/10/2024,processing,1006.96
13896,1931,4/12/2024,shipped,1376.72
9438,9918,19/09/2024,cancelled,49.09
16766,7691,25/11/2024,processing,442.14
7079,8230,23/10/2025,shipped,38.79
2253,6229,18/08/2025,returned,433.61
2967,2231,14/07/2025,cancelled,451.74
901,3735,16/02/2025,shipped,124.77
8162,6999,21/03/2024,cancelled,3075.93
16397,239,4/01/2025,cancelled,441.04
716,7002,2/09/2025,cancelled,111.52
6814,7423,7/07/2024,shipped,174.51
8596,6531,3/03/2024,completed,2735.8
11999,892,3/09/2024,shipped,2702.39
13450,5724,28/08/2024,returned,1297.72
16065,2466,13/04/2025,returned,395.25
18471,6621,11/07/2024,processing,229.98
4957,691,30/07/2024,returned,55.14
6797,67,26/08/2025,cancelled,253.46
16536,2911,14/10/2024,cancelled,584.97
9613,4581,24/03/2025,completed,99.56
9148,6016,20/04/2025,processing,404.72
3962,7206,24/01/2025,returned,62.08
4032,755,11/06/2024,returned,43.57
1008,1623,4/07/2025,shipped,99.51
5604,19,1/01/2024,shipped,37.8
8815,5023,20/09/2024,processing,2427.48
6502,188,9/09/2025,completed,1164.97
2177,7160,16/02/2025,returned,779.82
18887,4794,3/04/2024,processing,146.84
960,2044,1/07/2025,returned,207.21
667,6225,6/04/2024,shipped,158.03
772,6895,7/02/2024,completed,418.37
3191,5900,30/06/2024,completed,728.79
15604,7144,25/07/2025,completed,40.47
10821,7946,17/04/2024,cancelled,18.77
2772,8978,11/08/2025,completed,65.61
18981,80,12/10/2024,processing,276.29
15037,83,28/08/2024,cancelled,126.88
16894,3647,7/02/2025,cancelled,135.88
8731,4949,15/03/2025,cancelled,628.17
14950,3771,3/01/2024,shipped,85.29
8573,2798,13/09/2024,processing,286.97
14870,8702,4/09/2024,processing,468.2
7810,1597,10/05/2025,cancelled,2545.55
11065,3837,25/11/2024,processing,33.99
13333,2533,21/05/2024,processing,3889.33
14502,84,12/04/2024,processing,1741.27
10112,719,12/08/2024,processing,788.84
4466,6096,16/08/2024,shipped,1526.37
17141,3906,14/08/2025,cancelled,39.96
7038,6930,13/06/2025,shipped,88.66
15748,3477,19/11/2024,processing,702.19
18610,2685,11/07/2025,shipped,386.24
10677,7153,29/01/2025,completed,2209.97
18609,3635,11/11/2025,returned,682.93
12032,6649,3/05/2025,cancelled,55.21
4482,8024,2/08/2024,completed,968.19
2305,2053,18/02/2025,processing,260.33
6380,9469,6/06/2025,processing,1071.38
5907,7676,12/03/2024,shipped,1249.51
2517,7375,2/08/2025,completed,200.4
2954,2203,8/07/2024,completed,602.47
8468,2644,20/02/2024,completed,374.23
11621,5571,29/07/2024,processing,4177.5
8552,127,29/08/2025,completed,431.38
16748,817,2/08/2024,processing,1008.15
6225,3865,28/04/2025,cancelled,706.79
8072,4989,29/10/2025,cancelled,1523.57
4227,7119,31/05/2025,returned,1094.53
9838,8767,24/02/2025,returned,59.97
7804,4150,13/02/2025,cancelled,46
15270,8137,13/08/2024,cancelled,319.47
15763,492,12/11/2025,cancelled,47.35
18868,9778,5/11/2025,shipped,59.93
3990,4890,20/09/2025,cancelled,127.2
9273,5670,15/06/2024,returned,212.68
17510,610,8/12/2024,returned,1636.38
5236,4734,3/04/2024,processing,523.42
15115,5667,31/07/2025,shipped,38.21
12433,966,26/09/2024,returned,418.78
10108,9759,20/10/2024,processing,162.42
5699,6460,29/09/2025,shipped,109.3
1096,8638,1/07/2025,cancelled,674.26
1108,969,18/05/2024,returned,1539.42
101,9367,2/08/2024,shipped,312.65
6620,9124,3/03/2024,completed,185.76
9489,7986,24/06/2024,returned,269.42
1981,7905,19/01/2024,cancelled,496.67
9768,2227,9/11/2025,processing,486.77
14291,2353,12/02/2024,processing,21.73
10133,2147,18/07/2024,shipped,823.69
16508,35,29/12/2024,processing,52.77
15873,7598,14/01/2024,processing,234.48
9386,6962,19/09/2025,returned,271.41
13205,127,7/02/2024,cancelled,3975.71
7556,846,2/03/2024,shipped,517.78
11206,7950,31/03/2024,processing,934.28
11797,2340,5/10/2024,processing,74.41
1334,3654,19/02/2024,cancelled,266.71
14650,2222,24/09/2024,completed,2081.57
4326,371,23/12/2024,shipped,69.92
2263,8355,14/07/2024,completed,2956.05
8584,8035,23/03/2024,completed,818.47
10269,3460,18/05/2024,processing,866.96
16810,8633,22/09/2024,cancelled,1110.31
9297,1557,17/01/2024,cancelled,1663.12
13784,2774,23/02/2025,returned,68.15
9486,3781,10/01/2024,completed,270.78
7870,6135,28/02/2024,processing,1536.32
3402,2189,7/05/2025,returned,173.61
107,5095,11/09/2024,cancelled,91.42
17273,5187,7/08/2025,shipped,1286.18
13748,912,1/05/2025,completed,556.23
8799,1854,15/03/2025,processing,689.59
7013,8794,4/01/2025,completed,703.72
13993,1741,16/05/2025,cancelled,263.07
14110,868,3/03/2024,shipped,58.83
10638,2232,12/10/2024,returned,908.88
4971,8156,10/05/2024,cancelled,151.71
10448,5692,24/06/2024,shipped,417.21
1802,6421,10/07/2025,processing,478.24
15890,6439,4/10/2025,processing,325.61
497,9036,4/01/2025,cancelled,780.81
13211,2073,19/03/2025,shipped,943.41
1564,1366,29/02/2024,completed,15.87
1502,5725,3/09/2025,processing,114.06
19205,9967,5/09/2025,shipped,3194.27
11192,4557,29/08/2025,completed,175.43
9179,2530,1/07/2024,cancelled,54.93
15163,433,30/11/2024,processing,253.18
17328,4317,25/12/2024,processing,2910.3
19342,1628,22/07/2024,cancelled,681.34
16435,3095,29/08/2025,completed,3.44
7224,6310,8/09/2024,shipped,258.05
8632,841,30/07/2024,shipped,6.79
18773,5936,3/05/2025,shipped,7.76
15696,5445,5/07/2025,returned,1490.66
12886,1459,13/06/2024,cancelled,652.2
826,2374,27/03/2024,returned,570.66
15878,5577,1/12/2024,shipped,818.78
10515,8239,25/11/2024,shipped,9.81
3130,2403,7/12/2024,returned,21.38
8045,1718,25/09/2024,cancelled,28.05
17028,9187,20/10/2025,shipped,214.97
6324,5057,3/10/2024,returned,701.36
14769,7878,26/03/2025,returned,1208.68
2216,6820,23/03/2025,completed,33.58
14118,9689,5/09/2025,returned,1014.64
17630,3760,25/12/2024,completed,379.96
10230,9820,25/03/2024,returned,174.57
949,6199,20/08/2025,cancelled,156.32
16261,1553,16/04/2024,cancelled,639.62
11378,4431,30/07/2024,processing,3151.22
7077,188,25/10/2024,completed,21.02
5390,7828,11/11/2025,returned,1708.2
1688,848,11/04/2024,shipped,23.37
13322,2925,25/11/2024,cancelled,1800.51
7839,2972,12/11/2024,completed,509.59
8366,8124,29/09/2025,completed,460.66
15222,6593,2/08/2024,completed,745.53
12068,199,4/06/2024,cancelled,564.28
18464,5528,11/09/2025,cancelled,166.32
18876,7782,21/04/2024,cancelled,46.57
18926,1948,6/06/2024,cancelled,167.52
6997,7304,16/08/2024,completed,917.23
10702,9543,16/04/2025,cancelled,194.65
8092,7739,11/04/2025,shipped,389.34
15889,8954,22/08/2024,returned,295.84
5747,7871,9/06/2025,completed,252.08
859,5658,28/08/2024,returned,295.05
15306,2247,8/11/2024,processing,3886.7
5601,7553,4/10/2025,cancelled,1507.97
7221,2922,22/06/2024,shipped,2572.96
10254,2844,22/12/2024,completed,1280.15
19948,468,4/09/2025,returned,90.02
8653,4609,27/02/2024,cancelled,73.8
18042,3005,18/11/2024,cancelled,606.3
6347,8742,31/12/2024,processing,660.99
5723,1938,11/11/2024,returned,1175.73
11834,8765,6/12/2024,returned,631.53
9496,1058,18/07/2024,processing,214.65
3486,5233,26/04/2024,completed,267.15
17177,1060,25/03/2024,completed,20.06
9897,9674,20/01/2024,cancelled,5711.62
17732,462,6/08/2025,shipped,952.72
