eventid,userid,productid,eventtype,eventtime
2684,1433,764,view,30/07/2024
1313,1709,657,view,17/05/2025
38116,865,663,view,13/11/2025
40763,9910,357,view,13/05/2024
52992,3176,1480,view,22/06/2024
52558,7434,690,wishlist,6/01/2025
2941,9083,868,purchase,23/03/2025
54180,6302,132,purchase,8/02/2025
30140,2515,1522,view,27/08/2024
38433,7947,1119,view,27/02/2024
51148,4630,126,view,1/02/2025
12000,1155,947,cart,24/03/2024
36040,2275,1398,view,7/02/2024
50403,796,1491,view,20/05/2025
51308,1265,846,view,26/04/2024
52483,9755,838,view,30/10/2025
50940,1963,1018,cart,13/10/2024
52226,2546,61,wishlist,1/01/2025
43100,7347,195,view,20/08/2024
78652,5176,195,view,4/11/2024
22929,1286,593,wishlist,2/12/2024
31541,7306,1393,view,10/12/2024
42691,4777,1873,view,1/12/2024
67631,1774,1502,view,25/03/2024
13582,9329,341,cart,6/01/2024
25090,6061,1314,wishlist,8/07/2025
33566,681,655,wishlist,31/05/2025
43822,5643,1351,purchase,3/11/2025
14288,8741,1557,view,9/05/2025
42821,5646,510,view,24/05/2025
53828,6615,1642,view,30/07/2024
12831,7768,260,view,16/08/2025
21815,802,867,view,25/02/2025
33278,5739,968,view,29/05/2025
36724,1755,1687,view,7/07/2025
56789,6704,1214,view,31/10/2025
63411,6215,1179,view,23/08/2024
26351,8515,771,view,9/04/2024
39694,3415,890,view,10/07/2024
43072,5720,661,view,26/08/2025
42289,955,1046,cart,21/02/2025
10682,9336,947,view,10/11/2025
20999,1576,419,view,25/07/2025
21231,9886,1867,view,26/10/2024
37828,9001,1953,view,8/08/2025
41782,8079,390,view,24/04/2024
50812,7771,1623,view,15/03/2024
56533,9329,1054,view,8/01/2024
69786,5,1427,view,10/05/2024
16897,3483,1258,cart,16/06/2025
24409,7673,1922,wishlist,28/06/2024
30139,74,160,wishlist,10/04/2024
51620,7783,510,purchase,2/06/2024
24569,3846,1137,view,19/03/2025
25495,1765,790,view,5/06/2024
34331,4974,596,view,22/10/2025
41093,1798,326,view,30/09/2024
66567,8873,753,view,5/01/2025
73550,1135,202,view,28/01/2025
77326,6976,1567,view,14/10/2024
43078,6277,175,cart,4/05/2025
52595,1188,939,cart,25/09/2024
54201,6729,1528,cart,24/01/2025
226,4053,1401,purchase,2/05/2024
5850,4682,42,view,25/10/2024
43307,5468,1091,view,13/06/2024
61607,776,1536,view,15/06/2024
69525,8680,485,view,24/04/2025
1583,1286,1676,view,13/07/2025
10679,9597,569,view,8/04/2024
64285,3384,1554,view,21/04/2025
78300,4126,972,view,19/04/2024
33289,6297,1395,view,19/04/2024
37989,1124,605,view,25/03/2025
69400,556,1585,view,31/10/2025
29235,7795,1128,cart,2/09/2024
10129,9148,1837,view,7/04/2024
49235,5154,1139,view,25/10/2024
54049,6218,660,cart,6/11/2024
65099,5319,846,cart,14/07/2025
70952,1592,1218,cart,29/05/2024
30983,4773,1601,view,9/05/2024
39451,4207,7,view,5/08/2025
49332,2120,408,view,9/03/2025
52105,7268,737,view,29/11/2024
57152,9114,1134,view,18/09/2024
79815,1671,438,view,6/01/2024
32783,6877,956,cart,20/02/2024
15339,6830,125,wishlist,14/09/2025
5484,7875,1655,view,12/12/2024
17394,3064,1012,view,27/09/2025
40453,4384,1575,view,13/02/2025
7318,3978,1593,cart,9/08/2024
17992,7980,338,cart,26/09/2025
42428,4131,430,cart,25/10/2024
74619,4585,95,view,7/03/2025
60729,6994,1458,wishlist,7/11/2024
66037,6749,620,purchase,4/07/2025
20685,6498,1874,view,22/02/2024
50084,6218,830,view,6/09/2024
74208,3705,1021,view,23/10/2025
31115,5205,11,wishlist,26/04/2025
2089,4218,1554,view,15/11/2024
40810,4605,821,view,21/07/2025
65749,14,1170,view,5/11/2024
76086,4346,1269,cart,17/01/2024
13789,2452,1110,view,10/07/2025
34891,2582,1897,view,30/01/2024
39541,964,346,view,20/03/2024
66027,1375,37,view,21/06/2024
75288,5096,143,view,15/04/2025
78890,6844,679,cart,1/09/2024
33024,6062,1301,cart,30/05/2025
32046,4228,501,wishlist,3/05/2024
72996,6938,231,wishlist,4/08/2025
56167,3636,1109,view,25/04/2024
70821,3366,1806,cart,18/09/2025
44845,657,1253,wishlist,19/03/2025
14783,8859,1962,view,1/05/2025
61524,2845,983,view,8/09/2024
77549,5452,1967,wishlist,17/04/2024
61137,4332,1416,view,12/03/2024
73198,8380,108,view,5/02/2025
62441,4937,756,wishlist,21/12/2024
54828,2138,1176,view,28/11/2024
12899,291,308,view,5/01/2024
12905,81,555,view,26/12/2024
51718,3912,387,view,19/10/2025
59638,5332,1647,view,5/12/2024
75733,4318,50,view,24/01/2024
3995,1938,115,purchase,13/01/2024
46039,5821,1468,purchase,11/04/2024
17195,9148,1201,view,28/06/2025
67533,534,691,view,12/05/2024
68124,2557,469,view,13/03/2024
17510,5871,128,cart,7/11/2024
37554,587,1997,cart,25/02/2024
73850,7682,1914,cart,10/04/2024
74740,7329,1813,purchase,11/06/2024
1040,9490,1510,view,17/11/2024
4913,4893,1623,view,16/12/2024
8678,5125,881,view,23/01/2024
9285,6262,35,view,18/02/2025
35758,7607,2,view,30/04/2024
40866,7504,551,view,2/07/2024
46340,2025,1701,view,6/01/2025
59989,7145,858,view,25/01/2025
61921,919,1908,view,3/08/2025
18747,6552,1346,view,29/03/2025
57497,2261,1776,view,3/11/2025
7037,4589,615,cart,15/10/2025
59433,6468,1361,purchase,22/09/2025
7751,276,1302,view,15/02/2025
23934,1082,907,view,13/03/2025
27172,7986,14,cart,11/09/2024
2444,6902,592,wishlist,13/10/2024
23501,9472,237,view,27/07/2024
30158,9332,442,view,17/06/2024
39041,2876,688,view,15/02/2025
60193,8598,646,view,7/02/2024
60554,5407,1124,view,9/09/2025
67295,5934,477,view,21/09/2025
78220,9664,1516,view,13/07/2025
17472,9557,1193,cart,25/05/2024
24557,1988,241,cart,18/07/2024
64704,9575,1618,purchase,5/10/2024
24469,9156,447,view,28/11/2024
62263,1042,52,view,31/03/2025
74956,8008,63,view,11/08/2024
55183,4980,886,wishlist,26/03/2025
65915,8611,1988,wishlist,28/11/2024
68810,6768,1599,wishlist,24/05/2024
2860,7531,27,view,12/09/2025
16103,2843,558,view,23/11/2024
18161,4024,1649,view,15/09/2025
25381,8496,961,view,8/07/2024
13647,6892,1179,cart,1/02/2024
37091,2663,295,cart,3/05/2024
37780,4459,684,cart,16/08/2025
47131,4228,882,view,6/04/2024
2316,9700,1594,cart,14/06/2024
57220,9255,187,wishlist,13/07/2024
78017,7782,343,wishlist,18/02/2024
32243,100,835,view,16/04/2025
41533,6167,137,view,1/07/2025
63224,1781,988,view,18/10/2024
68104,4228,847,view,8/11/2025
77543,2280,1531,cart,10/09/2025
3798,5096,1969,view,27/03/2024
7408,534,1479,view,22/09/2024
7959,7843,1416,view,28/05/2025
15512,8609,1080,view,9/10/2025
54287,8862,11,view,2/04/2025
63590,3880,994,view,24/04/2024
72787,5958,741,cart,22/07/2024
60412,1797,454,purchase,14/07/2025
51417,2846,278,view,6/03/2025
52674,304,1756,view,7/05/2025
59867,3425,1889,view,14/10/2024
11507,1819,1882,view,3/05/2024
12336,9427,226,view,4/11/2025
24061,9551,294,view,1/11/2025
31108,9817,614,view,14/07/2024
45315,6216,268,view,25/02/2025
34284,1831,613,cart,5/09/2024
2022,1855,1231,wishlist,2/10/2025
50121,8802,153,view,30/03/2025
74571,3457,709,cart,28/04/2024
330,3873,181,wishlist,20/10/2025
8004,8240,323,view,3/01/2024
48674,9547,1151,view,2/11/2025
53813,3155,37,cart,6/07/2025
70119,7453,377,cart,9/02/2025
10605,5817,913,view,5/05/2024
26211,749,850,view,23/10/2024
32404,3147,1155,view,17/03/2025
57947,7189,1198,view,3/05/2024
62711,7621,433,view,3/07/2024
72985,9394,119,view,6/05/2025
64791,3662,300,cart,12/11/2025
9809,3012,523,wishlist,2/05/2024
30460,4434,44,wishlist,19/01/2024
35284,8019,1785,view,6/11/2025
66610,6243,1753,view,29/03/2025
6569,6010,973,cart,8/04/2024
20394,4693,1587,cart,8/12/2024
62595,5469,1419,cart,4/08/2024
53278,4149,1165,wishlist,23/09/2025
39735,7347,1924,purchase,28/05/2024
25596,5559,375,view,19/12/2024
58074,5975,186,view,19/08/2025
75554,4683,1524,view,9/04/2024
59935,5986,1788,cart,30/08/2024
17056,5609,1587,wishlist,4/03/2024
65285,3192,562,purchase,2/05/2025
79445,2329,419,purchase,13/06/2025
31780,8653,964,cart,21/03/2024
51426,5986,1242,view,11/08/2024
63534,4954,1494,view,25/01/2024
66743,4836,1789,view,4/12/2024
37215,539,1626,cart,2/04/2025
14037,7157,951,view,3/05/2024
39400,8871,657,view,5/10/2024
44581,3393,774,view,11/10/2025
51110,1467,13,view,11/04/2024
77753,7897,1435,view,18/10/2025
2043,4710,1551,view,12/01/2024
65951,843,588,view,4/04/2025
69113,6003,1410,view,1/09/2025
77909,9638,1055,view,7/10/2024
28306,475,1405,cart,30/11/2024
5468,5691,1273,view,23/01/2025
47924,2618,1412,view,16/10/2024
69818,1471,1113,view,12/06/2025
7632,6387,1833,view,28/02/2024
62879,7991,1712,view,9/09/2024
7137,5464,997,view,30/11/2024
10980,1949,38,view,20/01/2024
26525,6625,527,view,23/01/2024
43057,7458,945,view,31/01/2025
45675,3166,357,view,19/12/2024
13650,7431,683,cart,21/01/2025
57281,6232,344,cart,22/04/2024
72694,4796,319,cart,30/07/2025
6290,1546,1415,view,11/11/2024
20235,596,1951,view,19/01/2024
54733,1291,672,view,28/04/2024
62162,9971,1902,view,17/02/2024
70995,379,1424,view,27/01/2024
76227,970,381,view,17/03/2025
34432,6377,945,view,20/09/2025
56804,1444,141,view,21/04/2025
15372,7819,1661,cart,1/10/2025
73252,3910,566,wishlist,10/09/2024
73650,7881,1878,purchase,9/07/2025
18178,2046,236,view,19/09/2024
39942,3414,1764,view,19/10/2024
45578,1881,566,view,25/01/2025
40492,1584,5,view,5/03/2025
42890,2270,933,view,2/08/2025
57293,2972,1512,view,26/09/2024
50268,7089,1579,view,8/05/2025
57415,9380,326,view,11/11/2025
10734,3276,1230,view,17/04/2024
59804,4432,30,view,24/01/2025
22668,1709,1597,cart,6/01/2024
7344,1591,324,view,8/01/2025
19546,557,176,view,26/06/2025
28882,7844,1447,view,27/01/2025
42857,5196,292,view,25/09/2024
62548,386,994,view,7/08/2025
78352,364,1829,view,13/01/2024
31468,7879,472,cart,25/05/2024
2108,4549,1711,view,20/10/2024
24521,8440,1552,view,24/08/2025
25205,2980,161,view,20/04/2025
42222,8106,193,cart,10/09/2024
50418,5463,925,cart,24/09/2024
44285,4514,924,wishlist,20/04/2024
16358,4700,434,view,10/01/2024
28535,5869,720,view,6/07/2025
37128,9101,1899,view,11/11/2025
39303,4174,80,view,10/09/2024
4662,1140,490,view,4/04/2024
5831,2865,1942,view,9/03/2025
22528,5725,1250,view,6/08/2024
28060,6417,1385,view,8/11/2024
32388,9784,1834,view,7/01/2024
38504,9818,1408,view,10/01/2025
849,9027,1686,view,3/03/2025
74195,4236,12,view,4/06/2024
57852,1424,1194,purchase,18/08/2024
5413,7761,255,view,12/01/2025
6611,1966,1678,view,21/02/2025
8357,1568,960,view,19/03/2024
37848,6039,173,view,12/01/2024
44787,6349,658,view,20/05/2025
67004,400,1104,view,27/03/2024
64031,4212,756,cart,1/01/2024
13918,3936,954,view,31/08/2025
71952,9848,1586,view,1/08/2025
59426,4616,1036,wishlist,28/09/2024
74353,5579,1222,wishlist,4/01/2025
61060,1304,752,view,28/09/2024
5237,295,1249,view,10/03/2024
36314,4002,57,view,8/05/2024
75350,5564,618,view,31/03/2024
61428,2602,1717,cart,24/12/2024
72411,1778,1436,cart,5/12/2024
63316,3305,1933,purchase,10/09/2024
10871,7647,848,view,4/04/2025
53118,4641,1497,view,24/07/2024
13487,9300,1135,view,12/11/2024
35089,7362,1107,view,23/04/2024
48334,7364,221,view,31/08/2024
12429,2227,1620,cart,20/03/2024
48363,7021,939,wishlist,25/04/2024
15220,1482,1129,view,11/09/2024
34394,4259,1574,view,21/08/2024
54497,3467,957,view,26/06/2025
77426,1755,922,view,29/08/2024
14128,5780,536,cart,11/10/2025
56847,2891,902,view,28/09/2025
27888,7109,1194,wishlist,29/07/2025
36785,5897,791,view,3/07/2025
10752,3376,590,view,8/05/2024
24417,6947,266,view,29/04/2024
35944,9724,1731,view,12/06/2025
43159,8349,99,view,4/08/2024
50093,5359,1835,view,20/11/2024
66405,979,1673,view,22/09/2024
75367,5642,1785,view,28/02/2024
2686,8972,790,cart,4/07/2025
43809,1916,1533,view,19/05/2024
62733,1276,390,view,20/02/2024
57327,3562,841,cart,8/12/2024
48497,6509,775,wishlist,19/07/2025
3871,4286,862,view,4/05/2025
32933,6111,245,view,15/10/2025
42271,2944,770,cart,14/04/2025
60821,6632,906,cart,2/05/2024
16729,6360,1118,view,6/08/2024
61630,3730,183,view,29/12/2024
74411,282,1830,view,29/09/2024
77608,927,939,view,28/06/2024
58847,5131,1700,cart,3/02/2024
7786,7971,1004,view,13/05/2025
32100,4184,1830,view,23/01/2025
47599,1130,1428,view,8/04/2024
8751,3634,430,cart,28/01/2024
47838,8101,1204,view,19/10/2025
73325,9389,595,view,21/05/2024
79082,2890,868,view,26/10/2025
26977,8993,730,view,19/10/2024
61616,1868,1137,view,1/12/2024
38787,4668,1796,cart,7/09/2025
70466,5298,1130,wishlist,26/09/2024
25117,5694,665,view,11/09/2025
54434,1683,1761,view,18/07/2025
62805,4357,776,view,5/05/2024
73614,1650,1222,view,1/10/2024
45133,8722,387,cart,9/07/2024
25130,177,1064,view,26/08/2024
45422,4683,1635,view,6/04/2024
72722,5937,552,view,20/10/2025
4195,9683,1094,cart,23/06/2025
27180,5327,1050,cart,1/09/2025
56141,4608,705,wishlist,13/10/2025
35949,2718,863,view,23/03/2025
47453,7264,1984,view,4/09/2025
74180,7978,76,view,7/10/2024
176,4549,320,view,24/08/2025
23730,8069,1751,view,18/04/2024
31808,1522,366,view,8/01/2025
50337,8144,536,view,16/01/2024
71169,101,821,wishlist,11/01/2025
10235,5492,1159,view,11/09/2024
26996,3303,172,view,29/06/2024
35727,388,1716,view,16/01/2025
41981,2880,266,view,10/05/2025
59237,4804,1197,view,2/07/2025
65567,2452,1872,cart,4/11/2025
77768,1812,1902,cart,12/10/2024
5423,8095,1553,view,17/09/2025
8181,6259,1167,view,13/07/2024
14696,9998,18,view,7/01/2025
48978,6044,330,view,28/01/2025
49428,3337,1336,view,14/07/2025
53311,3819,1739,view,9/05/2024
58756,7257,1700,view,13/01/2024
63579,1038,1039,view,13/06/2024
68337,1488,813,view,17/06/2025
72275,945,672,view,22/04/2025
74266,1258,228,view,7/10/2025
63920,6889,1567,wishlist,6/07/2025
19962,5349,1113,view,24/02/2024
20571,2146,513,view,30/07/2025
35456,6157,1437,view,10/04/2025
36506,9679,922,view,10/07/2025
22806,2778,1580,cart,2/07/2025
27391,9241,487,view,31/12/2024
36032,4397,1920,view,28/05/2024
53581,9474,531,view,20/06/2024
24945,7462,941,cart,10/01/2024
37700,7242,102,cart,14/07/2024
7005,2648,1251,view,1/05/2025
60309,4284,1304,view,7/01/2025
63779,2709,1641,view,5/02/2024
57802,5119,1172,cart,19/03/2025
63335,853,1568,cart,28/11/2024
14785,1449,1790,view,28/01/2024
41596,9842,1135,view,28/05/2024
48614,3697,699,wishlist,27/03/2025
4111,7426,106,purchase,29/11/2024
3144,7434,1859,view,12/04/2024
22656,5915,669,view,3/08/2024
62393,6314,504,view,16/09/2024
74041,7670,174,view,19/03/2024
34847,6068,1955,cart,6/11/2025
6923,1075,1494,view,20/10/2024
34480,2331,525,view,13/10/2025
63821,7799,1775,view,5/09/2025
52729,3132,1939,cart,14/05/2025
36290,3819,386,wishlist,4/11/2025
34785,7687,1929,view,26/09/2024
79636,89,1270,view,25/02/2025
32769,7323,709,view,15/12/2024
14429,4857,1818,cart,9/07/2025
33888,3929,1313,wishlist,16/01/2024
15835,5647,787,view,25/01/2024
21183,3073,1157,view,6/10/2025
31692,2761,1626,view,8/01/2024
38900,1862,239,view,17/09/2025
61498,1265,927,view,13/04/2025
64118,7696,1961,view,5/06/2025
69268,5217,1047,view,26/05/2024
19271,6138,492,view,24/08/2024
29014,5134,573,view,11/05/2025
39749,1433,100,view,2/02/2025
58885,8607,1311,view,10/12/2024
4717,2039,1390,wishlist,27/05/2025
53238,4172,344,purchase,30/05/2025
6399,7207,1045,view,14/05/2024
12455,8454,968,view,19/08/2025
49829,9488,120,view,27/09/2025
72280,5950,1592,view,19/08/2025
77123,2105,753,view,24/05/2025
25649,6052,1746,view,25/07/2024
32980,8741,567,view,27/01/2025
51508,892,719,view,4/12/2024
18982,4549,550,view,10/05/2025
40885,6660,619,view,4/12/2024
26989,2328,761,cart,18/09/2025
19562,7567,1995,wishlist,24/03/2024
24931,8477,1442,view,5/04/2024
29087,9486,1723,view,13/09/2025
59768,9246,1576,view,16/01/2024
63395,3358,1572,view,14/12/2024
71254,9640,814,view,18/02/2024
7448,7568,1235,view,6/08/2024
15844,6150,470,view,22/01/2024
20489,8821,565,view,16/04/2024
32642,6312,1159,view,15/04/2025
57711,1902,1060,view,8/08/2024
77208,8439,931,view,28/01/2024
68005,561,147,cart,9/12/2024
60328,1459,934,wishlist,25/03/2024
40451,4174,121,view,6/01/2025
45514,2220,294,view,8/10/2024
46960,8706,1487,view,16/02/2025
14813,7172,732,cart,11/06/2025
34189,271,1361,wishlist,15/12/2024
76491,9817,840,wishlist,14/03/2025
9121,3505,28,view,24/07/2025
48931,829,1354,view,18/01/2024
54187,3441,663,view,28/06/2025
78881,949,249,view,18/08/2025
55166,2192,525,purchase,3/06/2025
27197,1559,1388,view,29/08/2025
27381,6133,1581,view,9/09/2024
27806,6229,1965,view,9/12/2024
29073,1048,1365,view,16/06/2025
70797,4715,171,view,21/07/2025
71958,9934,1532,view,28/04/2025
78880,6780,892,view,14/07/2024
17883,6484,32,view,19/10/2024
47174,6432,1145,view,28/03/2024
69582,4788,240,view,4/07/2025
18769,7594,1266,cart,21/01/2025
23028,7133,1219,wishlist,30/06/2024
2862,4934,333,view,4/03/2025
14297,9823,233,view,25/03/2025
24852,8941,742,view,11/07/2025
38289,6887,1728,view,24/07/2025
15796,5535,1139,view,4/05/2025
40140,6561,297,view,26/04/2024
44280,554,1574,view,21/05/2025
46430,6468,1689,view,18/03/2025
49199,4403,1164,view,1/10/2025
68475,976,507,view,7/08/2025
76747,7578,562,view,7/10/2024
564,2366,1955,view,10/09/2025
1758,9644,767,view,13/12/2024
73747,6045,1905,view,2/02/2024
67124,1683,198,purchase,4/08/2024
19084,4256,1804,view,10/01/2024
19716,4373,1702,view,10/08/2025
22073,7246,130,view,1/10/2025
28738,9370,930,view,8/10/2025
51652,4279,606,view,18/03/2024
52870,9508,1849,view,4/02/2025
77842,4374,1290,view,2/01/2024
18573,7483,815,cart,19/12/2024
22600,8524,1454,cart,22/10/2024
59374,2622,264,cart,6/05/2025
72486,2047,1838,wishlist,31/05/2024
50359,1371,274,view,18/07/2025
4063,7843,923,view,19/11/2024
28986,1802,1142,view,28/04/2025
54464,4926,524,view,21/02/2024
22589,9766,930,view,14/07/2025
44208,8216,576,view,23/07/2024
44035,3609,1391,cart,18/03/2025
59539,3162,1177,cart,2/10/2025
63814,257,1438,wishlist,25/10/2024
15352,227,1412,view,9/11/2024
31138,8889,212,view,13/04/2025
34992,7880,1407,view,17/02/2025
67654,1786,1405,view,22/10/2025
72167,4069,456,view,27/04/2025
49279,3569,266,cart,6/10/2025
11975,7575,796,view,7/05/2025
14798,5107,1451,view,8/03/2024
35504,9643,1425,view,24/12/2024
15818,7272,1584,cart,26/07/2024
45277,640,1778,wishlist,29/05/2024
61144,931,866,wishlist,20/01/2024
6260,6408,24,view,2/09/2025
6559,2181,1912,view,7/07/2024
39243,6852,548,view,26/05/2025
61024,5891,215,view,27/06/2025
25171,9243,1472,cart,14/08/2024
25251,8920,506,view,23/01/2024
32694,907,587,view,4/09/2024
45130,3991,1729,view,19/07/2025
61160,7907,459,view,10/09/2025
65516,1415,685,view,31/05/2024
39516,6853,101,cart,18/04/2024
13880,848,1364,view,10/02/2025
36067,76,734,view,16/02/2024
59223,9911,1447,view,25/04/2024
41888,376,1047,cart,14/02/2025
32515,6088,1767,wishlist,1/11/2025
8629,5853,903,view,2/03/2024
74699,2788,14,view,14/03/2025
11005,3090,185,view,22/08/2024
15895,969,752,view,14/01/2024
58249,5628,1059,cart,4/05/2024
25450,1146,156,wishlist,22/06/2025
22818,8722,1748,view,31/12/2024
48226,59,1239,view,2/09/2024
14701,9496,1374,cart,9/02/2025
39288,245,1919,wishlist,12/01/2025
61262,5706,1732,purchase,5/06/2025
31905,6420,477,view,9/03/2024
76877,5478,583,view,1/08/2025
6365,5552,1986,cart,4/08/2025
8382,4409,17,view,14/02/2025
18705,6659,221,view,26/01/2024
29924,1787,1206,view,8/11/2024
44152,9917,1489,view,4/08/2024
23941,9741,115,wishlist,19/04/2025
57712,9396,1788,wishlist,3/05/2024
18938,1959,455,view,17/11/2024
45874,3484,620,view,8/06/2024
53700,1715,643,view,5/01/2025
57990,6974,952,view,13/08/2025
19394,2477,1890,cart,2/09/2024
11143,5716,890,wishlist,1/02/2025
42254,3447,1583,view,26/09/2024
58717,9219,841,view,12/03/2024
66094,5625,1003,view,24/05/2025
39042,6389,115,wishlist,2/05/2025
12680,2183,386,purchase,18/04/2025
11496,3764,138,view,15/04/2025
22470,6353,1477,view,16/11/2024
25412,4325,1842,view,24/04/2025
78245,6486,1739,view,13/05/2024
30379,2090,1219,cart,7/02/2024
68499,1757,1520,cart,29/11/2024
4492,6634,1002,wishlist,14/03/2025
19608,8535,1385,wishlist,17/06/2024
25091,5907,838,view,26/09/2024
60020,9070,111,view,22/02/2025
69038,5601,1160,cart,1/07/2025
14608,4118,96,view,14/09/2024
40959,1385,347,view,6/10/2024
48348,5424,1620,view,4/07/2025
57951,5486,58,view,9/03/2025
25414,1874,1261,cart,6/05/2025
18290,1134,1128,wishlist,7/07/2024
54647,8455,1832,wishlist,26/08/2024
53099,3582,1283,purchase,20/06/2024
25800,7695,506,view,28/10/2025
66167,5073,1979,view,26/07/2024
22713,5040,1448,wishlist,19/12/2024
52175,7995,1102,view,27/08/2025
52952,453,1259,view,26/02/2024
