prdid,prdname,prdcategory,prdbrand,prdprice,prdrating
1703,Willow Just,Beauty,Willow,165.03,3.97
1626,Nimbus Out,Groceries,Nimbus,30.12,4.19
302,Zenith Together,Pet Supplies,Zenith,47.73,4.42
672,Pulse Yeah,Automotive,Pulse,370.64,3.87
566,Nimbus Himself,Home & Kitchen,Nimbus,221.26,3.39
621,Astra Daughter,Toys,Astra,7.92,4.63
1679,GreenLeaf Wrong,Sports,GreenLeaf,215.6,3.21
52,Nimbus To,Sports,Nimbus,138.89,3.17
1083,Astra College,Home & Kitchen,Astra,364.29,3.68
653,Orion Coach,Electronics,Orion,649.28,3.41
1278,Willow Community,Electronics,Willow,1194.94,4.65
93,NeoTech Peace,Sports,NeoTech,202.3,3.85
1135,NeoTech Team,Home & Kitchen,NeoTech,82.68,3.57
547,Everest Region,Clothing,Everest,207.26,3.78
1669,Solace Media,Toys,Solace,115.92,3.12
513,Everest Child,Toys,Everest,11.93,3.45
692,Acme Trip,Toys,Acme,75.81,2.79
1905,GreenLeaf Race,Groceries,GreenLeaf,3.32,3.34
632,Solace Show,Automotive,Solace,874.11,3.87
1555,Acme Book,Automotive,Acme,238.08,3.46
48,NeoTech Major,Books,NeoTech,70.33,4.69
844,NeoTech Second,Toys,NeoTech,31.98,3.42
741,Nimbus For,Electronics,Nimbus,704.46,2.96
1828,Willow Cost,Books,Willow,54.83,3.05
1937,Pulse Reveal,Beauty,Pulse,159.29,4
1233,GreenLeaf Into,Toys,GreenLeaf,49.59,3.96
749,GreenLeaf Authority,Electronics,GreenLeaf,254.08,4.83
1091,Solace Owner,Home & Kitchen,Solace,215.69,4.31
1647,Acme It,Clothing,Acme,118.8,3.17
1012,Acme Him,Electronics,Acme,1290.2,3.86
476,Harbor Much,Automotive,Harbor,133.02,4.38
1191,Pulse Direction,Toys,Pulse,43.64,4.56
1783,Willow Culture,Home & Kitchen,Willow,56.57,4.17
225,GreenLeaf Newspaper,Electronics,GreenLeaf,527.87,3.96
1864,Acme Age,Home & Kitchen,Acme,200.84,3.63
255,NeoTech Well,Beauty,NeoTech,71.91,4.18
126,Willow Arm,Sports,Willow,423.57,4.72
554,Everest National,Beauty,Everest,157.02,3.37
1736,GreenLeaf Reach,Groceries,GreenLeaf,5.66,2.7
1515,Zenith Reduce,Home & Kitchen,Zenith,40.8,3.99
1706,Willow Measure,Electronics,Willow,970.1,4.04
1442,Harbor Statement,Groceries,Harbor,6.07,3.94
1069,Nimbus Cost,Electronics,Nimbus,250.79,4.19
153,Pulse Care,Automotive,Pulse,147.47,2.6
985,Zenith Hot,Books,Zenith,43.24,4.03
787,Acme Attack,Toys,Acme,62.47,2.69
424,Everest Find,Home & Kitchen,Everest,439.51,3.62
1165,Willow Never,Groceries,Willow,12.97,4.89
1229,Willow Experience,Electronics,Willow,1477.45,4.21
488,Solace Level,Home & Kitchen,Solace,264.67,4.59
53,Willow Item,Automotive,Willow,100.81,4.55
1169,Solace Education,Sports,Solace,180.9,3.95
1651,Acme Those,Toys,Acme,109.53,3.57
1872,Everest Budget,Electronics,Everest,1217.83,3.3
1521,Acme Likely,Automotive,Acme,818.59,4.61
233,Zenith Might,Sports,Zenith,173.94,2.64
765,Everest Show,Toys,Everest,114.03,3.35
843,NeoTech Finally,Home & Kitchen,NeoTech,51.57,4.65
1947,Acme Think,Books,Acme,78.16,3.11
1067,GreenLeaf More,Sports,GreenLeaf,98.53,3.36
1549,GreenLeaf Drive,Books,GreenLeaf,13.83,4.67
1071,Willow Protect,Electronics,Willow,704.13,3.31
1101,Harbor Another,Beauty,Harbor,152.38,3.27
907,NeoTech Building,Pet Supplies,NeoTech,54.46,3.57
877,Willow Commercial,Groceries,Willow,24.09,4.33
1590,Solace Institution,Clothing,Solace,11.57,2.81
1053,NeoTech Market,Beauty,NeoTech,108.8,2.79
227,Solace Risk,Home & Kitchen,Solace,238.61,3.47
1280,Orion Why,Beauty,Orion,98.92,2.83
1490,Orion Total,Clothing,Orion,158.04,3.02
893,Astra Worker,Pet Supplies,Astra,87.91,2.67
930,Nimbus Hot,Toys,Nimbus,32.43,3.71
1837,Pulse Above,Toys,Pulse,72.87,3.13
430,GreenLeaf Own,Groceries,GreenLeaf,5.35,4.51
1950,Pulse No,Groceries,Pulse,25.37,3.1
717,Astra Nation,Books,Astra,53.24,4.54
1912,NeoTech Imagine,Beauty,NeoTech,257.28,3.87
1625,Harbor Sort,Clothing,Harbor,146.81,4.7
954,Harbor Cost,Automotive,Harbor,661.52,3.32
1778,Solace Minute,Toys,Solace,10.29,2.91
819,Orion Range,Sports,Orion,159.14,3.67
1088,Everest Church,Beauty,Everest,58.95,2.6
1503,NeoTech Interesting,Automotive,NeoTech,126.6,2.94
637,Nimbus Everything,Pet Supplies,Nimbus,4.87,3.47
37,Orion Approach,Pet Supplies,Orion,44.4,3.06
1510,GreenLeaf Reduce,Pet Supplies,GreenLeaf,93.58,4.47
1269,Nimbus Start,Toys,Nimbus,40.03,3.08
1417,GreenLeaf Less,Automotive,GreenLeaf,373.48,4.59
1814,Nimbus Prevent,Automotive,Nimbus,566.53,2.62
1332,Orion Moment,Books,Orion,27.08,3.17
1398,Zenith Believe,Automotive,Zenith,157.95,3.68
1630,Nimbus From,Electronics,Nimbus,1519.49,3.98
1832,Orion Medical,Home & Kitchen,Orion,52.77,4.16
437,GreenLeaf Various,Clothing,GreenLeaf,130.95,3.37
420,Astra Federal,Books,Astra,38.79,4.38
1664,Willow Her,Toys,Willow,44.59,3.09
1128,Willow Responsibility,Electronics,Willow,338.49,2.79
1306,Orion Identify,Books,Orion,31.28,3.82
325,Solace Down,Sports,Solace,114.24,4.22
1921,GreenLeaf Voice,Automotive,GreenLeaf,124.91,3.34
340,Zenith Life,Groceries,Zenith,20.74,2.7
851,Nimbus Serve,Books,Nimbus,67.08,2.91
137,Willow Such,Automotive,Willow,441.37,2.59
89,Harbor Necessary,Sports,Harbor,43.43,3.55
217,Zenith Follow,Clothing,Zenith,101.57,3.68
42,NeoTech Power,Toys,NeoTech,36.95,4.49
503,Harbor Cup,Clothing,Harbor,90.57,4.4
1659,Willow Group,Pet Supplies,Willow,20.65,2.82
1064,Zenith Enter,Automotive,Zenith,260.64,3.9
581,Nimbus You,Sports,Nimbus,307.54,3.12
92,Willow Economy,Beauty,Willow,177.95,3.31
1017,Orion Late,Sports,Orion,210.15,3.36
1545,NeoTech Everyone,Groceries,NeoTech,1.49,2.94
295,NeoTech What,Pet Supplies,NeoTech,84.97,4.66
1502,Willow Dark,Pet Supplies,Willow,71.02,3.29
896,NeoTech Later,Toys,NeoTech,78.36,3
91,Orion Involve,Books,Orion,69.07,3.44
1184,Acme Fill,Toys,Acme,64.63,4.24
1623,Solace Support,Toys,Solace,82.98,3.49
1599,Willow Report,Books,Willow,63.33,4.71
1614,Solace Create,Clothing,Solace,97.47,2.92
1299,Everest College,Toys,Everest,84.37,4.85
967,Astra Tend,Clothing,Astra,106.52,3.3
922,Pulse Goal,Home & Kitchen,Pulse,140.3,4.5
294,Zenith Recently,Automotive,Zenith,543.31,3.48
1357,Nimbus Task,Groceries,Nimbus,19.99,3.2
1556,Harbor Population,Pet Supplies,Harbor,86.48,3.1
1672,NeoTech Career,Electronics,NeoTech,1257.52,4.21
1058,Nimbus Raise,Home & Kitchen,Nimbus,98.25,4.53
764,Harbor Much,Sports,Harbor,226.24,2.9
1102,GreenLeaf Computer,Toys,GreenLeaf,8.2,3.02
1550,Zenith Case,Books,Zenith,19.19,3.92
729,Orion View,Clothing,Orion,49.66,3.89
173,Harbor Itself,Clothing,Harbor,30.32,4.4
1724,NeoTech Mind,Electronics,NeoTech,846.61,3.62
682,Nimbus Stage,Automotive,Nimbus,541.92,3.94
1111,Pulse Indeed,Beauty,Pulse,103.67,3.6
1820,NeoTech Personal,Clothing,NeoTech,90.19,3.49
1001,Everest She,Books,Everest,25.73,2.79
1471,NeoTech Writer,Sports,NeoTech,161.15,3.39
796,Acme Bank,Beauty,Acme,26.1,2.66
601,Acme Manage,Sports,Acme,343.78,3.5
973,Everest Push,Electronics,Everest,1603.75,2.84
348,Acme Vote,Pet Supplies,Acme,47.14,4.39
96,Orion Record,Pet Supplies,Orion,53.16,4.15
70,Solace Other,Electronics,Solace,802.45,3.67
1097,Astra Son,Sports,Astra,223.08,3.56
1043,NeoTech Opportunity,Clothing,NeoTech,28.05,4.84
1231,Solace All,Sports,Solace,168.03,2.74
1608,Orion Whatever,Books,Orion,96.75,3.06
1755,GreenLeaf Star,Automotive,GreenLeaf,305.42,3.33
1980,Solace Door,Automotive,Solace,59.9,3.96
572,GreenLeaf Score,Pet Supplies,GreenLeaf,58.41,2.99
411,Acme Common,Pet Supplies,Acme,50.96,2.88
1112,Willow Sing,Groceries,Willow,22.26,2.93
1525,Astra On,Clothing,Astra,134.22,3.82
943,Willow Discuss,Clothing,Willow,111.58,4.18
702,GreenLeaf Condition,Electronics,GreenLeaf,667.59,2.8
390,Acme Coach,Groceries,Acme,24.1,3.79
1133,GreenLeaf High,Electronics,GreenLeaf,521,3.4
1882,Astra Tough,Electronics,Astra,1463.26,4.71
1134,NeoTech Son,Beauty,NeoTech,145.87,4.35
778,Astra Clearly,Clothing,Astra,56.05,3.65
1592,NeoTech Guy,Pet Supplies,NeoTech,44.14,4.45
1587,Zenith Rich,Electronics,Zenith,658.35,4.34
492,Nimbus Who,Books,Nimbus,36.16,4.07
793,Willow Agree,Clothing,Willow,168,3.83
94,Solace Ten,Sports,Solace,41.49,3.6
288,Acme He,Beauty,Acme,106.67,3.28
1423,Astra Avoid,Beauty,Astra,56.11,4.26
432,Harbor Develop,Pet Supplies,Harbor,58.1,3.07
527,Astra Democrat,Electronics,Astra,554.93,2.99
1407,Nimbus Line,Home & Kitchen,Nimbus,218.95,2.87
665,Zenith Hotel,Clothing,Zenith,76.18,3.96
1533,GreenLeaf Star,Beauty,GreenLeaf,156.64,4.02
590,NeoTech Protect,Beauty,NeoTech,13.34,2.68
1737,Zenith Heart,Beauty,Zenith,92.24,4.75
1610,Everest Republican,Pet Supplies,Everest,77.46,3.28
751,Willow At,Books,Willow,2.72,3.47
1931,Orion Make,Clothing,Orion,40.77,3.91
1422,Solace News,Automotive,Solace,660.72,3.23
246,Willow Because,Automotive,Willow,216.58,3.89
1296,Harbor Pick,Toys,Harbor,14.7,3.58
402,Solace Change,Clothing,Solace,108.39,4.06
1336,Solace Section,Home & Kitchen,Solace,260.9,2.76
500,NeoTech Security,Beauty,NeoTech,38.54,2.54
191,GreenLeaf Produce,Toys,GreenLeaf,47.14,3.64
918,Astra Space,Home & Kitchen,Astra,98.55,4.11
626,NeoTech Practice,Home & Kitchen,NeoTech,59.97,4.26
1358,Orion Film,Books,Orion,54.48,2.84
1605,Harbor Picture,Electronics,Harbor,492.64,3.12
1441,Zenith Garden,Books,Zenith,54.22,4.5
1074,Solace Civil,Automotive,Solace,160.18,2.96
1674,Orion Ahead,Electronics,Orion,786.4,4.49
1177,Harbor Ability,Sports,Harbor,107.38,2.53
473,Nimbus Whose,Books,Nimbus,22.53,2.99
1826,Solace Guy,Clothing,Solace,117.72,4.34
1558,Everest Factor,Clothing,Everest,142.38,2.78
1400,Orion Bag,Beauty,Orion,86.41,4.22
952,Nimbus Bag,Beauty,Nimbus,70.34,4.55
1404,Pulse Certainly,Toys,Pulse,95.08,4.74
18,Solace A,Home & Kitchen,Solace,47.18,3.06
917,Astra Upon,Toys,Astra,20.58,2.83
854,GreenLeaf Plan,Automotive,GreenLeaf,685.59,2.59
1570,Willow Few,Beauty,Willow,130.56,3.5
224,Astra Else,Automotive,Astra,88.96,2.52
253,Harbor Reduce,Groceries,Harbor,46.4,3.4
1003,Willow Peace,Automotive,Willow,676.95,4.22
1005,Acme Majority,Home & Kitchen,Acme,405.41,3.14
328,Pulse Group,Toys,Pulse,26.74,4.05
1588,GreenLeaf Without,Beauty,GreenLeaf,132.56,3.78
278,Astra Goal,Beauty,Astra,37.69,3.99
494,Astra Test,Clothing,Astra,148.44,3.65
98,Nimbus Computer,Beauty,Nimbus,63.31,3.94
1526,Orion Defense,Clothing,Orion,117.09,4.36
353,Zenith Thought,Toys,Zenith,83.19,4.47
768,Harbor Wind,Pet Supplies,Harbor,50.78,2.66
241,Orion Idea,Clothing,Orion,148.45,4.55
1794,Willow Treatment,Automotive,Willow,576.97,3.89
3,Acme Discuss,Sports,Acme,265.37,3.46
704,NeoTech Girl,Home & Kitchen,NeoTech,194.49,4.66
991,Everest Drug,Clothing,Everest,19.08,4.39
1961,NeoTech Write,Electronics,NeoTech,1038.94,3.18
1068,Zenith Decade,Groceries,Zenith,19.97,3.65
1887,Astra Work,Books,Astra,10.47,2.84
1081,Astra Act,Electronics,Astra,985.35,2.77
339,Nimbus Memory,Pet Supplies,Nimbus,93.07,2.71
959,Astra Idea,Beauty,Astra,71.72,3.46
1750,Solace Possible,Books,Solace,61.35,2.87
136,Zenith Phone,Electronics,Zenith,2169.98,4.38
1170,Acme Recently,Groceries,Acme,30.76,4.58
898,Zenith Although,Sports,Zenith,116.26,4.42
1007,Acme Pm,Clothing,Acme,182.33,3.84
1593,Harbor Eat,Clothing,Harbor,181.12,4.17
597,Acme Consumer,Groceries,Acme,13.5,4.72
1061,Pulse Eight,Automotive,Pulse,297.23,3.71
1960,Orion Owner,Electronics,Orion,738.02,2.94
1275,Nimbus Bad,Toys,Nimbus,77.34,2.56
1797,GreenLeaf Green,Automotive,GreenLeaf,187.99,3.37
1055,Harbor Wonder,Clothing,Harbor,123.01,4.87
659,Harbor Strong,Automotive,Harbor,501.37,3.5
1989,GreenLeaf Major,Books,GreenLeaf,61.57,3.58
1898,Astra Process,Pet Supplies,Astra,131.29,3.76
254,Everest Simple,Pet Supplies,Everest,109.05,2.7
1363,GreenLeaf Last,Pet Supplies,GreenLeaf,13.6,4.68
1517,GreenLeaf Present,Clothing,GreenLeaf,233.7,4.04
1645,Nimbus Much,Sports,Nimbus,223.28,3.42
1796,Zenith Military,Pet Supplies,Zenith,45.72,4.68
1713,Zenith Into,Toys,Zenith,37.8,4.17
167,Pulse Answer,Sports,Pulse,28.53,4.4
1458,NeoTech Leader,Automotive,NeoTech,29.08,4.44
773,Astra Page,Beauty,Astra,9.58,2.8
1253,Zenith Red,Books,Zenith,42.45,4.3
545,Pulse Understand,Sports,Pulse,55.49,3.04
1941,Astra Sometimes,Pet Supplies,Astra,82.4,4.16
1700,Harbor One,Automotive,Harbor,601.59,2.52
598,Nimbus Pass,Pet Supplies,Nimbus,4.68,4.78
794,NeoTech Nice,Toys,NeoTech,62.1,2.6
1845,Nimbus Fill,Toys,Nimbus,74.86,4.7
1638,Harbor Story,Home & Kitchen,Harbor,363.25,3.13
1547,Orion Catch,Clothing,Orion,149.44,3.91
201,Willow Something,Toys,Willow,23.76,4.6
1714,NeoTech Trouble,Sports,NeoTech,303.15,3.7
305,Everest Scientist,Home & Kitchen,Everest,295.31,3.75
102,Pulse Surface,Groceries,Pulse,6.16,4.78
354,Pulse Letter,Electronics,Pulse,1387.39,4.43
1073,Everest Own,Beauty,Everest,31.17,2.56
1720,Harbor Or,Pet Supplies,Harbor,6.69,3.84
1673,Harbor Main,Beauty,Harbor,99.78,2.67
465,Nimbus Professional,Toys,Nimbus,14.96,4.33
1052,NeoTech Customer,Clothing,NeoTech,196.49,3.9
1080,Acme Wrong,Clothing,Acme,18.31,4.63
1057,Acme Up,Automotive,Acme,538.47,4.42
261,Orion Indicate,Books,Orion,54.65,2.65
1698,GreenLeaf Day,Clothing,GreenLeaf,142.7,4.17
1566,Willow Entire,Groceries,Willow,23.71,3.59
34,Everest Figure,Automotive,Everest,260.02,3.87
1789,Willow Wall,Automotive,Willow,409.61,4.48
1476,Nimbus Sound,Books,Nimbus,22.36,3.87
64,NeoTech Commercial,Sports,NeoTech,151.03,3.98
1622,Willow Break,Beauty,Willow,5.29,2.62
1480,GreenLeaf Deal,Pet Supplies,GreenLeaf,20.68,4.81
644,NeoTech Investment,Automotive,NeoTech,293.47,2.86
995,Nimbus Level,Automotive,Nimbus,223.92,2.93
67,Acme Their,Books,Acme,16.13,3.13
1392,NeoTech Civil,Toys,NeoTech,29.34,3.63
1823,Willow Bit,Sports,Willow,215.56,2.59
298,Zenith Deal,Electronics,Zenith,1238.93,4.34
1777,NeoTech Continue,Pet Supplies,NeoTech,69.57,2.83
1344,Orion Second,Pet Supplies,Orion,103.47,2.72
1979,NeoTech Our,Electronics,NeoTech,662.22,2.76
211,Acme Performance,Toys,Acme,104.68,4.68
938,GreenLeaf Remember,Books,GreenLeaf,83.52,2.52
1350,Harbor Production,Clothing,Harbor,75.16,3.55
1885,Zenith Catch,Home & Kitchen,Zenith,215.62,2.76
727,Pulse Miss,Beauty,Pulse,133.58,3.13
619,GreenLeaf Idea,Electronics,GreenLeaf,279.09,3.32
1695,Pulse Look,Groceries,Pulse,11.71,4.78
1313,Harbor Different,Pet Supplies,Harbor,28.38,4.29
384,Nimbus Take,Automotive,Nimbus,596.56,2.69
1237,Solace Agree,Groceries,Solace,44.83,2.68
142,Zenith Way,Clothing,Zenith,205.73,4.65
230,Astra Well,Clothing,Astra,174.94,2.63
406,NeoTech Provide,Sports,NeoTech,103.54,4.5
237,Zenith Thus,Automotive,Zenith,191.89,2.97
287,NeoTech Vote,Pet Supplies,NeoTech,69.34,3.12
1562,GreenLeaf Character,Sports,GreenLeaf,184.98,3.87
951,Willow Place,Groceries,Willow,25.48,4.07
1250,Harbor Thought,Toys,Harbor,14.59,4.51
299,Zenith Partner,Automotive,Zenith,291.45,3.06
1784,Everest Beautiful,Sports,Everest,219.72,3.77
822,Astra All,Clothing,Astra,36.08,2.58
66,GreenLeaf Spring,Books,GreenLeaf,42.89,4.69
709,Everest Unit,Sports,Everest,142.68,4.49
875,Pulse Season,Automotive,Pulse,376.18,4.13
1881,Acme Support,Books,Acme,36.2,4.7
779,Nimbus Seven,Books,Nimbus,8.89,4.35
84,Orion Firm,Groceries,Orion,4.51,4.44
1822,Orion Race,Automotive,Orion,492.48,3.57
1711,Acme Here,Electronics,Acme,929.73,2.77
730,Everest Miss,Automotive,Everest,570.57,2.92
1642,Acme Design,Groceries,Acme,5.55,3.76
525,GreenLeaf According,Books,GreenLeaf,28.04,4.3
1329,Willow Mean,Sports,Willow,168.63,3.55
1619,Everest Imagine,Clothing,Everest,15.52,4.2
1207,Zenith War,Beauty,Zenith,28.52,3.88
691,GreenLeaf Concern,Groceries,GreenLeaf,3.96,4.89
1042,Pulse Degree,Home & Kitchen,Pulse,225,3.64
275,Everest Customer,Toys,Everest,36.36,3.05
1646,Orion Class,Sports,Orion,314.64,4.51
1917,Everest Possible,Electronics,Everest,503.48,3.01
1924,Acme Sign,Books,Acme,5.58,3.74
925,Harbor Size,Books,Harbor,19.35,4.76
1291,Zenith Sign,Beauty,Zenith,56.18,3.55
1856,GreenLeaf Somebody,Toys,GreenLeaf,69.5,4.46
935,Astra City,Pet Supplies,Astra,70.32,3.21
932,Astra Last,Pet Supplies,Astra,96.95,3.26
1607,Solace Institution,Beauty,Solace,65,2.94
459,Nimbus Next,Toys,Nimbus,74.6,3.01
1159,Acme Institution,Books,Acme,18.26,2.67
1910,Nimbus Possible,Clothing,Nimbus,76.19,3.13
1266,NeoTech Participant,Home & Kitchen,NeoTech,45.32,3.78
1294,Solace But,Toys,Solace,45.66,4.28
686,Willow Bring,Clothing,Willow,29.92,4.3
504,GreenLeaf Learn,Beauty,GreenLeaf,111.42,3.27
1540,Harbor Whom,Automotive,Harbor,148.66,3.07
1670,NeoTech Outside,Beauty,NeoTech,110.43,2.78
1125,Harbor Against,Electronics,Harbor,1181.64,3.46
471,NeoTech While,Sports,NeoTech,181.71,4.25
1087,Solace Let,Clothing,Solace,220.52,2.58
495,Pulse Down,Groceries,Pulse,21.2,4.53
444,Everest Opportunity,Groceries,Everest,28.92,2.63
1537,NeoTech Test,Groceries,NeoTech,9.23,4.21
1103,GreenLeaf Old,Books,GreenLeaf,117.92,4.09
1472,Zenith Rate,Toys,Zenith,40.71,3.53
593,Willow Military,Books,Willow,82.84,4.79
1507,Harbor Thousand,Sports,Harbor,317.38,3.83
330,Orion Begin,Pet Supplies,Orion,37.03,4.32
1021,Solace Fund,Beauty,Solace,72.4,2.98
902,GreenLeaf Card,Pet Supplies,GreenLeaf,42.91,4.12
1445,GreenLeaf Project,Beauty,GreenLeaf,118.11,4.72
1616,GreenLeaf Draw,Books,GreenLeaf,167.4,4.08
795,GreenLeaf News,Books,GreenLeaf,44.55,4.53
1863,Acme Half,Books,Acme,59.15,3.35
240,Astra Model,Sports,Astra,13.49,2.91
183,Orion Like,Groceries,Orion,3.37,4.26
114,Zenith Create,Electronics,Zenith,805.15,4.14
1694,Solace Actually,Pet Supplies,Solace,34.17,4.83
1041,NeoTech Fine,Groceries,NeoTech,17.03,2.87
1498,Acme Take,Clothing,Acme,207.25,2.84
885,Nimbus Whose,Automotive,Nimbus,606.7,4.33
861,Orion Voice,Toys,Orion,81.52,3.54
1089,NeoTech Person,Books,NeoTech,19.14,3.04
1066,Nimbus Time,Home & Kitchen,Nimbus,154.29,3.61
1248,GreenLeaf Happen,Electronics,GreenLeaf,1233.14,2.86
286,Zenith Church,Pet Supplies,Zenith,39.15,2.85
1582,Solace Everyone,Clothing,Solace,242.11,3.76
1901,Nimbus Wide,Pet Supplies,Nimbus,94.59,3.94
1246,Zenith Husband,Toys,Zenith,31.98,4.64
1292,Astra Measure,Automotive,Astra,763.65,2.77
1359,Orion Strategy,Beauty,Orion,100.06,3.63
1210,GreenLeaf Realize,Books,GreenLeaf,66.98,3.34
543,Orion City,Beauty,Orion,115.63,4.56
1987,Astra Sea,Automotive,Astra,871.03,3.23
578,Nimbus Development,Home & Kitchen,Nimbus,390.19,2.59
916,Acme Radio,Sports,Acme,81.74,3.17
1727,Harbor Resource,Home & Kitchen,Harbor,228.38,3.52
1743,Zenith Happy,Home & Kitchen,Zenith,173.72,4.54
1650,Solace Suffer,Books,Solace,71.07,4.19
1436,Zenith Argue,Toys,Zenith,63.88,3.92
1598,NeoTech Administration,Automotive,NeoTech,407.98,3.51
1779,Orion Management,Clothing,Orion,57.54,4.39
385,Willow Mouth,Electronics,Willow,756.87,3.96
1528,Pulse Behavior,Beauty,Pulse,150.71,3.09
1753,Zenith View,Sports,Zenith,165.03,4.69
1968,Nimbus Before,Home & Kitchen,Nimbus,375.68,3.67
1259,Solace How,Electronics,Solace,490.48,4.24
557,Orion And,Sports,Orion,167.07,2.73
1204,NeoTech Plant,Automotive,NeoTech,88.34,3.55
1830,Acme Chance,Electronics,Acme,1127.47,3.02
422,Everest Fire,Clothing,Everest,257.15,4.37
1689,Willow Condition,Sports,Willow,297.5,3.32
1335,Solace Including,Home & Kitchen,Solace,386.33,4.21
1468,NeoTech Town,Automotive,NeoTech,212.1,2.7
1377,Harbor Month,Groceries,Harbor,22.11,4.59
1221,NeoTech Job,Clothing,NeoTech,79.93,4.51
1819,Everest Organization,Beauty,Everest,69.22,2.73
777,NeoTech Eye,Pet Supplies,NeoTech,27.19,4.64
1484,Astra Key,Electronics,Astra,475.65,3.43
1386,NeoTech Nature,Clothing,NeoTech,181.88,2.89
1860,Everest Late,Clothing,Everest,86.67,3.46
1693,GreenLeaf Next,Books,GreenLeaf,21.06,3.57
1164,GreenLeaf Rule,Clothing,GreenLeaf,18.65,3.46
1925,Willow Hospital,Automotive,Willow,1340.76,3.45
1618,Acme Drug,Pet Supplies,Acme,43.35,3.7
279,Zenith World,Beauty,Zenith,114.56,4.18
1710,Zenith Stay,Groceries,Zenith,16.58,4.86
90,Pulse Arm,Groceries,Pulse,3.69,2.87
714,Everest Economic,Groceries,Everest,22.55,3.91
1238,Pulse Positive,Clothing,Pulse,166.04,3.79
1446,Harbor Mother,Toys,Harbor,40.8,3.04
1858,Everest Run,Books,Everest,54.55,4.3
1079,Orion Page,Home & Kitchen,Orion,249.07,3.14
774,Harbor Think,Clothing,Harbor,20.4,4.69
1004,Acme Mention,Pet Supplies,Acme,12.81,3.13
1254,Nimbus Job,Toys,Nimbus,71.59,3.67
358,Solace Something,Electronics,Solace,1001.67,4.03
1897,Nimbus Expert,Beauty,Nimbus,127.42,2.95
1895,GreenLeaf Into,Electronics,GreenLeaf,418.78,4
805,Nimbus Standard,Beauty,Nimbus,35.08,3.72
1944,Nimbus East,Books,Nimbus,63.5,4.54
517,Nimbus Those,Beauty,Nimbus,60.55,4.31
1568,Pulse Scientist,Groceries,Pulse,11.15,4.42
1366,Pulse Interesting,Clothing,Pulse,95.81,4.13
678,Zenith Whole,Toys,Zenith,152.1,3.14
528,Zenith Leader,Toys,Zenith,29.55,4.14
55,Astra Our,Electronics,Astra,949.73,3.51
873,Harbor Television,Home & Kitchen,Harbor,94.58,4.81
1301,Astra Without,Clothing,Astra,114.51,2.87
1655,Pulse Understand,Home & Kitchen,Pulse,75.5,4.09
258,Orion Trouble,Groceries,Orion,11.34,4.46
1896,Everest Response,Automotive,Everest,278.74,3.7
909,Orion Head,Pet Supplies,Orion,72.71,3.86
884,Willow Nation,Pet Supplies,Willow,15.29,4.05
1475,Nimbus Place,Electronics,Nimbus,651.6,3.93
221,Nimbus Customer,Groceries,Nimbus,22.47,4.15
